Air_conditioning,Breakfast,Buzzer_wireless_intercom,Cable_TV,Carbon_monoxide_detector,Doorman,Dryer,Elevator_in_building,Essentials,Family_kid_friendly,Fire_extinguisher,First_aid_kit,Free_parking_on_premises,Free_parking_on_street,Gym,Hair_dryer,Hangers,Heating,Hot_tub,Indoor_fireplace,Internet,Iron,Kitchen,Laptop_friendly_workspace,Lock_on_bedroom_door,Paid_parking_off_premises,Pets_allowed,Pool,Safety_card,Self_Check_In,Shampoo,Smoke_detector,Smoking_allowed,Suitable_for_events,TV,Washer,Wheelchair_accessible,Wireless_Internet,apart_id,apart_name,at_page,bathrooms,bed_type,bedrooms,beds,cancellation_policy,city,cleaning_fee_native,description,extra_price_native,guests_included,host_id,in_building,instant_bookable,is_location_exact,lat,lng,monthly_price_factor,native_currency,person_capacity,picture_count,price_for_extra_person_native,price_native,property_type,require_guest_phone_verification,review_rating_accuracy,review_rating_checkin,review_rating_cleanliness,review_rating_communication,review_rating_location,review_rating_value,reviews_count,room_type,special_offer,square_feet,star_rating,weekly_price_factor
False,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,True,16466670,Мансарда для счастливых людей,0,1.0,Настоящая кровать,1,2.0,flexible,Konigsberg,,"Уютная мансарда, на 25 кв. м которой вместилось все, что необходимо для счастья двум путешественникам (+1 доп.место) - маленькая кухня (холодильник,микроволновка, плитка), сан.узел, хранение одежды и- как вишенка на торте - большой балкон. Дом находится в уникальной исторической части Калининграда- Кенигсберга - от центра 20-25 минут. Поблизости и остановка, и магазины, но это не главное) самое крутое в нашем районе - это сохранившаяся немецкая застройка. Путешествия во времени возможны!

С удовольствием расскажу, как можно приятно и продуктивно провести время в Калининграде и области.

Наша мансарда идеально подходит для влюбленных друг в друга и в жизнь парочек, неразлучных друзей и жадных до ощущений путешественников! хотя - здесь хорошо будет всем и каждому)",,1,97916329,False,True,False,54.71246246181577,20.456406905310846,0.55,RUB,3,10,0,1296,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,4,Дом/квартира целиком,,,5.0,0.9
False,False,False,True,True,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True,12404673,Apartment Апельсин,0,1.0,Диван-кровать,1,1.0,flexible,Kaliningrad,,"Мы расположены в самом центре города Калининграда. До площади Победы 10 минут пешком, так же там расположены самые популярные торговые центры, кинотеатры и развлекательные заведения Калининграда. 
В радиусе 500 метров от Апартаментов расположены кафе Табаско (пиццерия), Москва-Берлин (суши роллы), Пармезан (пасты пиццы), Вавилон (пиццерия) так же рядом Боулинг, ночной клуб Platinum, Калининградский зоопарк. До Остановки общественного транспорта 2 минуты.

Готовы принять Ревизорро так как уверенны в чистоте квартиры :)

Звоните в любое время, всегда готов ответить на любые вопросы.

Рядом в 3 минутах ходит любой транспорт который может вас отвезти в любою точку Калининграда, так как это центральная улица. Так же можем вам предложить аренду автомобилей намного дешевле любой прокатной компании авто от 800 рублей",,1,64211084,False,False,False,54.719200633582105,20.48832422769983,0.65,RUB,2,15,0,2003,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,4,Дом/квартира целиком,,,5.0,0.79
False,False,False,False,True,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,13394719,Мини-квартира в самом центре с парковкой,0,1.0,Настоящая кровать,2,2.0,flexible,Konigsberg,350.0,"В 3 минутах ходьбы рынок,торговые центры,рестораны и кафе. Во дворе собственная парковка с охраной.Есть возможность взять недорого авто в прокат. В соседнем доме банк,продуктовый магазин и кафе.Остановка общественного транспорта в 20 метрах от дома.Отличная транспортная развязка.В пяти минутах ходьбы пригородный вокзал для путешествий на море. Мое жилье подходит для размещения троих человек.Окна выходят во двор на парковку. Для прогулок вокруг ""Верхнего озера"" предоставим велосипед.

Жилье находится в самом центре на одной из самых оживленных улиц. Пешком можно добраться на центральную площадь за 4 минуты.
Окна выходят во двор на парковку. Не шумно. Окна новые - стеклопакеты. Тепло.Всегда горячая вода.

Наши гости пользуются всей квартирой и парковкой.

Можем предоставить для прогулок велосипед в районе ""Верхнего озера"". При желании покажем город на автомобиле. Организуем автомобиль в прокат.

Очень удобен наш район для путешественников. С одной стороны парк и верхнее озеро , с другой - все рестораны , магазины , площадь, собор и все музеи.

Транспорт весь рядом.Парковка платная - в 300 метрах в торговом центре. Парковка бесплатная - у дома.",,2,75688940,False,True,True,54.72420192699776,20.510407816116352,0.9,RUB,3,9,500,766,Квартира,False,10.0,10.0,9.0,10.0,10.0,10.0,33,Дом/квартира целиком,,,4.5,0.95
False,False,True,False,True,False,False,False,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,10739704,"2-х кв. в немецком доме в центре, старый город",0,1.0,Диван-кровать,1,2.0,moderate,Kaliningrad,500.0,"Уютная двухкомнатная квартира в Немецком доме. Расположена на первом этаже четырехквартирного дома с внутреннем двориком, на тихой зеленной улице. Рядом с центральным парком и в двух минутах от центрального проспекта города.

The cozy two-room apartment in the German house. It is located on the first floor of a four-apartment house with internal a court yard, on the quiet green street. Near the central park and in two minutes from the central avenue of the city. Windows come to the quiet garden. Around set of restaurants, bakeries, candy stores, cafe, bars and night clubs. Very quiet small street consisting almost only of the German structures and all area immerses in the atmosphere of old Konigsberg. Nearby large number of park zones and lakes, including zoo and central Kaliningrad park.    


Дом находится в двух минутах ходьбы от центральной улицы города (проспект Мира), рядом с Центральным Парком Калининграда. Окна выходят на тихий двор. Вокруг множество ресторанов, пекарни, кондитерские, кафе, бары и ночные клубы.

Koenig Style 1 offers accommodations in Kaliningrad. The property features views of the garden and is 2.9 km from Königsberg Cathedral. Free WiFi is provided throughout the property and free private parking is available on site.

The kitchen features an oven and a microwave, as well as a kettle. A TV is featured.

Church of the Holy Family is 3.2 km from Koenig Style 1, and Amber Museum is 3.4 km away. The nearest airport is Kaliningrad Khrabrovo Airport, 19.3 km from Koenig Style 1.

Двухкомнатная квартира 50 м² на 1 этаже 2-этажного Немецкого дома с внутренним двориком. Автономное система отопления, стиральная машина, холодильник, газовая плита, духовка, посудомоечная машина, кофеварка, утюг, фен.

Всегда рады помочь советом и действием.

Очень тихая улочка, состоящая почти только из немецких строений, и весь район погружает в атмосферу старого Кенигсберга. Рядом большое количество парковых зон и озер, в том числе зоопарк и центральный калининградский парк. В трех минутах магазин ""SPAR"", где вы найдете все необходимое для комфортного проживания.

Остановка транспорта в двух минутах от дома, в любую точку города. Такси по городу от 100 до 150 руб.",,3,27492504,False,False,True,54.716790130325066,20.471933799212426,0.75,RUB,4,36,400,884,Квартира,False,9.0,10.0,9.0,10.0,10.0,9.0,15,Дом/квартира целиком,,,5.0,0.9
False,False,True,True,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,9037837,Радушная и уютная квартира :),0,1.0,Настоящая кровать,2,2.0,flexible,Kaliningrad,,"Опрятная, светлая и тихая квартира недалеко от центра города (Площадь Победы в  20 мин тихим шагом). Магазины, кафе и автобусная остановка в 5 мин.

Приглашаю в гости! :) 
Приветливая, уютная и теплая квартира:
Гостиная с удобным двухспальным диваном, шкафом для одежды, комодом с зеркалом,  столиком для ноутбука, Smart TV и небольшой библиотекой.
Большая лоджия переделана в очаровательную комнатку, с полутороспальной кроватью, столом, и удобными ротанговыми креслами.

P.S  А еще у меня куча розеток и выключателей:)

Квартира в полном распоряжении гостей. 
- Быстрый беспроводной интернет WiFi.
- Кухня с набором всей необходимой утвари, приборов и  посуды, холодильником, газовой плитой, тостером, электрочайником. 
- Ванная комната - фен, шампунь, мыло, гель для душа, подставка для щёток
- Свежее постельное белье, полотенца. 
-  Чай, соль, сахар, специи.
- Бесплатная парковка, удобный выезд на море и в город.

!!!Единственно нет стиральной машинки.

Я встречу Вас в квартире или, если Вам понадобиться, в аэропорту, на вокзале. Постараюсь ответить на все интересующие Вас вопросы.
Я всегда на связи и можно звонить в любое время.

Квартира находиться практически в центре города, в достаточно тихом месте, недалеко от ботанического сада. Около дома есть: 
- Супермаркеты Вестер -  07:00 - 23:00, Spar, Виктория - 07:00 - 02:00 ночи. 
- Булочная Königsbäcker - туда нужно ходить осторожно, а то за уши потом не оттянешь!
- Кафешки (прямо рядом с домой находиться самая вкусная пицца Кёнига:)) 
- Круглосуточная аптека, банк и банкоматы.

В 5 минутах ходьбы - автобусная остановка (можно уехать в центр, на остров Канта, Южный вокзал, рынок.)

Из аэропорта можно:
- доехать со мной на моем авто (300 рублей в одну сторону);
- на такси (500 рублей)
- на автобусе с пересадкой - 80 +18 рублей (подробный маршрут как добраться до моего дома вышлю)

В квартире автономное отопление, поэтому всегда есть горячая вода :)",,2,10696622,False,True,False,54.736758054749885,20.509776889746835,0.8,RUB,3,24,350,1119,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,44,Дом/квартира целиком,,,5.0,0.95
False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,14157651,Квартира в самом сердце Калининграда(Амалиенау),0,1.0,Диван-кровать,1,1.0,moderate,Konigsberg,471.0,"Уютная квартира в доме - памятнике архитектуры  в историческом центре города. 
В пешей доступности супермаркет, кафе, рестораны, театры, кинотеатр, Центральный парк, Зоопарк. 
Хорошая транспортная развязка

Прекрасная квартира в самом центре города (район «AMALIENAU»- ""город-сад"")
Уютная квартира в доме - памятнике архитектуры, объекте культурного наследия, в историческом центре города. 
Выходя из дома вы можете в полной мере ощутить атмосферу старого немецкого города. Приятная часть города для прогулок. Недалеко находится озеро Поплавок, где можно отдохнуть. во время прогулок по узким зелёным улочкам, всегда вспоминается Бродский: ""Деревья что-то шепчут по-немецки""
Вы погрузитесь в атмосферу старого Кёнигсберга, осмотрите почти весь район Амалиенау, и будете им очарованы!

С радостью помогу гостям сориентироваться в городе, расскажу о достопримечательностях и интересных местах.

Если вы были в Калининграде и не зашли в квартал Амалиенау, значит вы не были в Калининграде. Квартал Амалиенау считается жемчужиной города. Здесь можно гулять часами, смотреть на вековые домики и наслаждаться нетипичной для России планировкой улиц. Район начал застраиваться в самом начале 20 века и практически не был разрушен во время войны.

В пешей доступности транспортная развязка(автобусы,трамваи- ориентир остановка ""Центральный парк"") ,центральный парк,зоопарк.Развитая инфраструктура. 10 минут до Северного вокзала,откуда ходят электрички и автобусы к побережью",,1,26142647,False,False,True,54.72244745883088,20.474515496776494,0.8,RUB,2,17,0,1060,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,11,Дом/квартира целиком,,,4.5,0.9
False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,16404436,Апартаменты на Краусаллее,0,1.0,Настоящая кровать,1,1.0,flexible,Konigsberg,350.0,"Апартаменты находятся в историческом районе Кёнигсберга Амалиенау - район немецких вилл, где жила интеллигенция на улице Каштановая аллея (Краусаллея - немецкое название). Прогулявшись по близлежащим улочкам, ощутите дух старого города. А на променаде озера Цвиллингтайх (Пруд близнецов, сейчас Поплавок) Вы сделаете потрясающие фотографии. Апартаменты очень уютные, светлые (много окон, даже в ванной комнате) и чистые.

В шаговой доступности: продуктовые магазины, озеро, музыкальный театр, рестораны, Парк центральный (1 остановка), Зоопарк (3 остановки), 15 минут до центра. Выезд на побережье Балтийского моря. До остановки общественного транспорта 30 метров.

Есть все необходимое для проживания: стиральная машинка, холодильник, тостер, чайник электрический, микроволновка, телевизор, музыкальный центр, утюг. Также в распоряжении гостей кухонная посуда, банные принадлежности, беспроводной интернет.

Трансфер от аэропорта/ вокзала  до апартаментов бесплатно на комфортном автомобиле WV Golf5.",,1,103704086,False,True,True,54.73132662619645,20.462804852877003,0.7,RUB,2,15,0,1296,Квартира,False,10.0,10.0,10.0,10.0,8.0,10.0,1,Дом/квартира целиком,,,,0.9
False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,False,False,True,14458740,"Апартаменты в центре, рядом с центральным парком",0,1.0,Настоящая кровать,1,1.0,flexible,Konigsberg,,"Cупер предложение на лето (июнь, июль, август): 30 дней = 43 000 руб (до 2 человек).
Связывайтесь со мной через предварительную бронь (2 дня), договоримся!
Center Apartments
Рядом с моим жильем отличные виды, рестораны и кафе, семейные развлечения и ночная жизнь. Вам понравится, ведь в моем жилье есть район, пространство у дома, кухня и удобная кровать. Мое жилье подходит для этого: пары, соло-путешественники, деловые путешественники и семьи (с детьми).

Однокомнатные апартаменты только после ремонта, большая кровать, хорошее постельное белье, чистые полотенца 3 шт на одного человека.
Новая бытовая техника.
В наличии эл.чайник, газ.плита, холодильник, микроволновая печь, утюг, гладильная доска, фен, ночник на прикроватной тумбе.
Есть Wi-Fi, рабочее место, где удобно работать с ноутбуком.

Все 33 кв.метра в Вашем распоряжении.

Предлагаю трансфер из аэропорта и обратно на комфортабельном автомобиле 2012 года, 3 места, стоимость 550р в одну сторону.
При бронировании от 9 дней, трансфер из аэропорта и обратно (в пределах с 8-00 до 23-00) бесплатно.

Вблизи от от апартаментов:
- Центральный парк культуры и отдыха с аттракционами и зоной отдыха в 50м;
- ресторан, пиццерия в 50м;
- быстрое питание (фастфуд) 2шт в 100м;
- круглосуточный, большой цветочный павильон 100м;
- дискотеки 2шт в 800м;
- торговый центр в 300м;
- продуктовые магазины крупных торговых сетей 2 шт в 100м;
- фирменные магазины алкогольной продукции в 200м;
- знаменитый Калининградский Зоопарк в пешей доступности или одна остановка общественным транспортом (990м).

Парковка личного транспорта во дворе или перед окнами апартаментов со стороны улицы,
остановка общественного транспорта в 100 м.",,2,89072284,False,True,False,54.720050925157224,20.473391572736265,0.8,RUB,2,14,500,1649,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,13,Дом/квартира целиком,,,5.0,0.9
False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,12556556,Уютная квартира в центре города.,0,1.0,Настоящая кровать,1,2.0,moderate,Kaliningrad,,"Квартира с европейским ремонтом в центре города. 2-х спальная кровать, угловой диван, постельное белье, встроенная кухня с бытовой техникой. Фен, утюг, вай фай,Тихий двор, бесплатная парковка. Музеи, торговые центры,озеро,магазин,клуб ,транспорт.

Вы живёте в самом центре города и все достопримечательности может обойти пешком.Наслождаясь прогулками, а не ездой в транспорте.

Гостя я встречу и провожу.Если есть вопросы я всегда на связи. Готова ответить на вопросы и посоветовать, что можно посетить в нашем красивом городе.

Самый центр города, зеленая зона.Рядом озеро, музей Блиндаж, кафедральный собор, могила Канта, музей Мирового океана, музей Янтаря, Драматический театр, зоопарк, парк королевы Луизы.Торговые и развлекательные центры.

Возле дома бесплатная парковка, транспорт в любой конец города одна минута от дома . добраться из аэропорта можно на рейсовом автобусом, на такси поездка по времени около 30 минут, цена 500рублей.",,1,7221003,False,False,True,54.712140688745755,20.510195527593734,1.0,RUB,3,11,0,1296,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,11,Дом/квартира целиком,,,5.0,0.9
False,False,True,True,True,False,False,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True,16524151,Комфортабельные апартаменты в центре города,0,1.0,Настоящая кровать,1,2.0,flexible,Konigsberg,,"Сдаются  посуточно Комфортабельные Апартаменты в центре города  в новом современном доме в центре города с евроремонтом для туристов и гостей города при проживании только от 3 суток! Все в шаговой доступности: Верхнее озеро , парк Юность, Ботанический сад, Музей Янтаря, площадь Победы, Северный вокзал (здесь отходит транспорт на побережье) Центральный рынок, ТЦ Акрополь, ТЦ Европа.
Рядом с домом остановка общественного транспорта.
В доме в цокольном этаже парикмахерская, кафе, магазины.

Центр города, идеальное расположение, рядом остановка общественного транспорта.

Центр города, развитая инфраструктура. В доме находится супермаркет SPAR.

Квартира находится рядом с остановкой общественного транспорта, очень удобное расположение.",,2,103966214,False,False,True,54.73165139706293,20.513258964469763,0.8,RUB,3,16,350,1885,Апартаменты,False,10.0,10.0,10.0,10.0,10.0,10.0,1,Дом/квартира целиком,,,,0.95
