Air_conditioning,Breakfast,Buzzer_wireless_intercom,Cable_TV,Carbon_monoxide_detector,Doorman,Dryer,Elevator_in_building,Essentials,Family_kid_friendly,Fire_extinguisher,First_aid_kit,Free_parking_on_premises,Free_parking_on_street,Gym,Hair_dryer,Hangers,Heating,Hot_tub,Indoor_fireplace,Internet,Iron,Kitchen,Laptop_friendly_workspace,Lock_on_bedroom_door,Paid_parking_off_premises,Pets_allowed,Pool,Safety_card,Self_Check_In,Shampoo,Smoke_detector,Smoking_allowed,Suitable_for_events,TV,Washer,Wheelchair_accessible,Wireless_Internet,apart_id,apart_name,at_page,bathrooms,bed_type,bedrooms,beds,cancellation_policy,city,cleaning_fee_native,description,extra_price_native,guests_included,host_id,in_building,instant_bookable,is_location_exact,lat,lng,monthly_price_factor,native_currency,person_capacity,picture_count,price_for_extra_person_native,price_native,property_type,require_guest_phone_verification,review_rating_accuracy,review_rating_checkin,review_rating_cleanliness,review_rating_communication,review_rating_location,review_rating_value,reviews_count,room_type,special_offer,square_feet,star_rating,weekly_price_factor
True,False,True,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,16073257,"Тихий центр, уютно, чисто, у метро #2",0,1.0,Настоящая кровать,1,1.0,strict,Moskva,,"Тихая комната, с общей ванной и туалетом. В двух шагах от станции метро ""Парк Культуры""",,1,65355867,False,True,True,55.73386444059183,37.59519794557013,1.0,RUB,2,14,0,1977,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,16,Отдельная комната,,,5.0,1.0
False,False,True,False,True,True,False,True,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,15077163,Apartment with a view in the center,0,1.0,Настоящая кровать,1,1.0,moderate,Москва,500.0,"Если Вы цените комфорт, личное пространство и время, эта квартира создана для Вас!
Светлая и уютная в самом сердце столицы! 
Из окна открывается великолепный вид на историческую часть города. 

Арбатский район, Кремль в шаговой доступности, и множество других уникальных архитектурных объектов, достопримечательностей.

Квартира оснащена всем необходимым.

Если Вы цените комфорт, личное пространство и время, эта квартира создана для Вас!
Светлая и уютная в самом сердце столицы! 
Из окна открывается великолепный вид на историческую часть города. 

Арбатский район, Кремль в шаговой доступности, и множество других уникальных архитектурных объектов, достопримечательностей.

Квартира оснащена всем необходимым.


If you appreciate comfort, own space and time, this apartment is for you! 
Light and cozy apartment in the very heart of the capital. 
The window offers a magnificent view of the historical part of the city. 
The location is near the Arbat neigbourhood, Kremlin and many other unique architectural objects and tourist sights. The apartment is equipped with everything needed. 
All necessary appliances: refrigerator, electric kettle, stove and TV.

Вся необходимая бытовая техника: холодильник, электрический чайник, плита, фен.

I leave to the guests my telephone number, so you can contact me whenever you need to.

Престижный район с развитой инфраструктурой, в нескольких метрах от дома множество ресторанов, кафе, кинотеатров. 
До метро Смоленская 8 минут пешком. 
Так же пешком можно дойти до Кремля или Патриаршего пруда.

Вся необходимая бытовая техника: холодильник, электрический чайник, плита, фен,  безлимитный высокоскоростной - интернет, полные комплекты постельного белья из высококачественного сатина и комплекты махровых полотенец, чай,  сахар, шампунь, мыло и другие принадлежности.

I leave to the guests my telephone number, so you can contact me whenever you need to.

Престижный район с развитой инфраструктурой, в нескольких метрах от дома множество ресторанов, кафе, кинотеатров. 
До метро Смоленская 8 минут пешком. 
Так же пешком можно дойти до Кремля или Патриаршего пруда.

Метро, автобусы, троллейбусы.

Все фотографии видов настоящие;)",,1,65095552,False,True,False,55.752050668992396,37.5855615308162,0.92,RUB,2,20,0,2907,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,22,Дом/квартира целиком,,,5.0,0.96
True,False,True,False,True,True,True,True,True,True,False,False,True,False,False,True,True,True,False,True,False,True,True,True,False,False,False,False,True,True,True,True,False,False,True,True,True,True,13160631,Уникальная студия с камином 2,0,1.0,Настоящая кровать,1,1.0,strict,Moskva,,"Вашему вниманию предлагается очаровательная студия. Она находится в элитном жилом комплексе. Дизайнерский ремонт. На территории комплекса круглосуточная охрана. В студии очень тихо и уютно. Каждый элемент интерьера продуман и сделан со вкусом.  Вы не останетесь равнодушными. И как приятно будет  вечером греться у камина и наслаждаться покоем и умиротворением...

Вашему вниманию предлагается очаровательная студия. Она находится в элитном жилом комплексе. Дизайнерский ремонт. На территории комплекса круглосуточная охрана. В студии очень тихо и уютно. Каждый элемент интерьера продуман и сделан со вкусом.  Вы не останетесь равнодушными. И как приятно будет  вечером греться у камина и наслаждаться покоем и умиротворением...При заезде требуется 1 паспорт  для оформления договора аренды. Снижение цены возможно при длительном сроке проживания. Добро пожаловать!

В студии имеется все для комфортного проживания (стиральная машина, посудомоечная машина, 1 телевизор,  wi-fi, , , кондиционер, утюг с гладильной доской, вся необходимая посуда, предоставляется постельное белье, полотенце)

Мы будем рады помочь Вам во всех вопросах, которые могут возникнуть.

Центр Москвы. Близость к Экспоцентру, ближайшее расположение магазинов.

В пешей доступности метро ""Алексеевская"" и метро ""Рижская"". Рядом с домом остановка общественного транспорта, что тоже очень удобно.

Ранний заезд/выезд до 8:00 или поздний после 23:00 оплачивается дополнительно 500 руб.",,1,25396213,False,True,True,55.801761257036596,37.635699329836854,0.96,RUB,3,16,0,3082,Квартира,False,10.0,10.0,9.0,10.0,10.0,10.0,57,Дом/квартира целиком,,,5.0,0.97
False,False,True,False,False,False,False,True,True,True,False,True,True,False,False,True,True,True,True,False,False,True,True,True,True,False,True,False,False,False,True,False,False,True,False,True,False,True,16670634,Cozy room in a lively area in central Moscow,0,1.0,Диван-кровать,1,1.0,flexible,Moskva,,"A small and cozy room with a balcony in a constructivist house in the heart of Moscow. It's a superb area with plenty of cool restaurants, cafes, bars, nightclubs, cinemas, theatres and parks nearby. The Red Square is only 20min walk away or 7-10min by bus which stops just outside the house. There're 8 underground stations 10-15 min walk away from the place. 

We're a young couple of English-speaking travel journalists who'll be happy to give you travel tips and help you plan your journey.

It's an unusual house built in 1930 in a Russian constructivist style. We have two rooms. The bigger one is where we sleep, and the smaller one is for our guests. There's a bathroom with a bathtub and a kitchen. We offer unlimited free tea with biscuits and sweets, plus you're free to use our fridge and multicooker.

Kitchen, bathroom

We'll be happy to help with anything you might need (like booking train and airplane tickets, buying theatre and museum tickets, etc.). We can also help you plan your journey and suggest cool and off the beaten track places in and around Moscow. We can also give you a tour around our neighbourhood and beyond, and take you to our favourite restaurants/cafes/parks, etc.

We live in the middle of an old and quiet neighbourhood in central Moscow dominated by beautiful 18th- and 19th-century merchant houses, mansions and churches. There're literally hundreds of cool restaurants, bars and cafes around here. Whether you're looking for excellent coffee brew bar, vegan cafe, French bakery, traditional Russian restaurant or English-language cinema - they're all just a stone's throw away.

The bus stop is right outside the house. You can catch a bus to the Red Square & the Kremlin, Pushkin Arts Museum and loads of other Moscow attractions. Kurskaya railway station is only 10min walk away. There're 8 underground stations within a walking distance from our place.",,1,19673207,False,False,True,55.76252762650239,37.65080880651052,,RUB,1,22,0,814,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,4,Отдельная комната,,,5.0,
True,False,True,False,True,False,False,True,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,True,True,True,False,False,True,True,False,True,17105570,Отличная 2к квартира с потрясающим видом на Кремль,0,1.0,Настоящая кровать,2,3.0,flexible,Moskva,,"Квартира расположена в историческом Центре Москвы, пару минут и Вы на Новом Арбате. Высокая транспортная доступность: 5 минут пешком до станции метро «Арбатская». И 20 минут пешком до Красной площади и Кремля!

Отличный выбор для деловых поездок, семей с детьми и просто путешественников, остановившихся в одном из красивейших городов мира.

Квартира с потрясающим панорамным видом на Кремль!

Гости могут пользоваться полностью всей квартирой.

Я с радостью Вас заселю и проведу экскурс по квартире, а также буду на связи в течение всего Вашего пребывания в Москве. Я говорю на русском и английском языке, поэтому наше общение будет комфортным.

Арбат — это один из старейших районов столицы с более чем 500-летней историей, и множеством памятников архитектуры, истории и культуры. Назван по имени, расположенной здесь, улицы Арбат.

Особенным шармом района являются его тихие переулки. На улицах Арбата располагаются посольства иностранных государств, небольшие офисные центры, рестораны и кафе. На главных улицах всё иначе — здесь расположено большое количество дорогих ресторанов, пестрят своими вывесками бутики известных марок.

Станции метро ""Арбатская"", а также наземный транспорт в пешей доступности.

Услуги с дополнительной оплатой:
- Трансфер
- Для иностранных гостей мы помогаем оформить Визовую поддержку в кратчайшие сроки
- Для бизнес-путешественников - пакет документов для отчетности в бухгалтерию.",,1,110909478,False,True,False,55.7537848722257,37.59314189368688,0.82,RUB,5,18,0,5117,Квартира,False,,,,,,,0,Дом/квартира целиком,,,,0.92
False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,False,False,False,True,False,False,False,True,True,False,True,15163899,"Скромная, уютная квартира",0,1.0,Настоящая кровать,1,1.0,moderate,Москва,,"От метро Улица 1905 года 7 мин пешком. 2 станции метро до улицы Тверская, центра города

Бесплатная уборка и замена постельного белья каждые 3-5 дней

7 мин пешком до метро. 2 станции до центра города",,1,27163488,False,True,False,55.77034797327806,37.56203925117954,0.8,RUB,3,22,0,3198,Квартира,False,9.0,10.0,9.0,9.0,9.0,9.0,13,Дом/квартира целиком,,,4.5,0.92
False,False,False,False,True,False,True,False,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,False,False,False,True,True,False,False,True,True,False,True,6615727,John Jillian's Apartment - Plane,0,1.0,Настоящая кровать,1,1.0,moderate,Москва,700.0,"Тихий, спокойный район Москвы. Вокруг дома много зелени. От метро 10 мин. пешком, 2 станции метро до улицы Тверская.",,1,18034765,False,True,False,55.75951963846808,37.55258493217136,0.8,RUB,2,12,0,2907,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,34,Дом/квартира целиком,,,5.0,0.9
False,False,False,False,False,False,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,True,16139849,Квартира в Замоскворечье,0,1.0,Настоящая кровать,1,2.0,flexible,Moskva,1000.0,"Дом находится в центре города в одном из самых уютных районов Москвы - Замоскворечье. Удобно, что метро Павелецкая находится в двух минутах ходьбы. До Кремля - 30 минут ходьбы. Рядом останавливается трамвайный маршрут А и 39 - он едет по бульварному кольцу до Чистых прудов - очень красивый маршрут. В квартире любых путешественников, пары, одного или командировочного.",,1,1730590,False,False,True,55.733349261885806,37.63625165269466,,RUB,3,4,0,2326,Квартира,False,10.0,10.0,8.0,10.0,10.0,10.0,1,Дом/квартира целиком,,,,0.82
False,False,True,True,False,True,False,True,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,True,False,False,False,True,False,True,True,True,True,False,True,5772975,"Gorky Street, Pushkin and Kremlin",0,1.0,Настоящая кровать,0,2.0,strict,Moskva,1050.0,"Old time Moscow. Spacious studio 500 sq ft 4 ft ceilng. Artists welcome. Private art-residence. 
Исторический дом. Настоящая старая Москва. Тишина.  Студия 46 метров. НЕТ бездушного евроремонта, сохранена московская советская стилистика начала 20 в.

Винтаж. Уникальное жильё, не убитое евроремонтами.  Потолки 3.7 м. Окно от пола до потолка.  Большая двуспальная кровать + раскладная кровать на 120 кг.   Живопись интерьера продаётся. 

 10 min walk to thе Red Square.  First Moscow skyscraper of 1913. Authentic Moscow style spaceious  studio. Honeymoon nest or travellers lounge. No big city noise. Accommodates 3 guests. One queen and one portable. 

Artists, lovebirds, travellers, businessmen - welcome. Your private space close to everything is here for you.

Artists welcome. Extended stay kit.  Details negotiable.

ТВ, интернет, посуда, бельё, кухня, холодильник, микроволновка, большая ванная комната с ванной.
 Ещё: утюг, фен.

We speak English.  We can show you around Moscow and  offer cool itineraries and  places to visit under separate conditions. Artists welcome.

А на Тверской, а на Тверской дом высокий городской и запах кофе колдовской на Тверской (с) 
Historical Boulevard Ring, Tverskaya (former Gorky) Street.  10 min walk - and you are looking at the Kremlin Wall.

метро Пушкинская, Тверская, Чеховская. 5 минут пешком от метро. 10 минут на такси или 2 остановки на метро до Белорусской - и оттуда аэроэкспресс в Шереметьево. 

Выслушаем ваши пожелания и предложения.  Квартира может быть использована в качестве арт-резиденции или художественной студии.",,2,1632619,False,False,True,55.76442006102186,37.60529714277736,0.67,RUB,3,16,618,2384,Квартира,False,9.0,10.0,8.0,10.0,10.0,9.0,35,Дом/квартира целиком,,,4.5,0.87
True,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,False,False,True,False,True,True,True,True,False,True,True,True,True,True,8860207,Вид на москву реку. м.Таганская.3 комнаты,0,2.0,Настоящая кровать,3,5.0,moderate,Moskva,,"3 комнатная просторная квартира в сталинском доме на набережной Москвы реки в 15 минутах от Кремля. Под рукой абсолютно все- начиная от метро и до театра. Есть парковка для гостей. 2 санузла, настольные игры, огромная кухня со всем необходимым. Рядом Таганская площадь- круглосуточные магазины, кафе, рестораны. Через дорогу от дома пункт велопроката, в одной остановке- причал экскурсионных теплоходов.

Просторная 3 комнатная квартира в сталинском доме  с высокими потолками (3,5 метра) и с потрясающим видом на Москву реку. Всего в квартире две двуспальных кровати- одна по факту трехспальная, двуспальный диван ( раскладывается) также раскладываются кресла. 

Большая кухня со всей необходимой техникой и посудой. Есть кофемашина.  Постельное белье всегда новое и свежее также как и полотенца. Одноразовые тапочки, одноразовые бритвы и зубные наборы также есть.  WIFI есть.

Балкон есть  на кухне и выходит во двор. Для весылых компаний есть настольный аэрохоккей и настольный футбол (смотрите фотки) 

Идеально подходит как для 2-3 человек так и для больших компаний. В квартире 2 туалета, есть стиральная машина и сушка для белья.  Очень удобное расположение рядом с метро Таганская - пешком действительно не больше 5 минут. Во дворе закрытая парковка- для гостей бесплатная, свободное место можно всегда найти. В пешей доступности 3 магазина, два из них круглосуточные. С мая месяца начинает работу велопрокат, который находится рядом с домом, также недалеко находится причал откуда курсируют кораблики по Москве реке, по набережной за 15-20 минут можно дойти до Красной Площади, в пешей доступности- Китай Город, Бульварное Кольцо. Для любителей искуства- рядом театр на Таганке. Таганская площадь также в 6-8 минутах- из вкусных мест где можно поесть- Братья Караваевы, из других- Le pain quotodien, Шоколадница, в торговом центре Звездочка- McDonalds и KFC.

Относительно цены- я выставляю цены рекомендованные Airbnb, но если у вас есть вопросы или немного не хватает, всегда есть небольшой торг для хороших гостей. 

Очень удобно для тех кто прилетает в аэропорт Домодедово. На аэроэкспрессе- добираетесь до Павелецкого вокзала- оттуда одна остановка на троллейбусе или пешком -15 минут.

Кухня укомплектована всей необходимой техникой и посудой. Для проведения вечеринок есть кальян и настольные игры. Если надо может прийти мастер кальянщик. Есть дополнительный стол для гостиной. Есть посудомоечная и стиральная машина.

At this apartment you can find every piece of comfort. Kitchen is equipped with all appliances including microwave oven grill and fridge. For fun and party we have shisha and hookah device and Sony PlayStation.

I live nearby so I can assist 24/7. If you need an English speaking guide just let me know. I can also speak German and a bit of French. Check in and check out are flexible. 

Я живу рядом всегда готов помочь если что то необходимо. Встреча из аэропортов и если надо отвезти в аэропорт-1000 р любой аэропорт Москвы. 500р - любой вокзал.

Большой выбор ресторанов кафе.
Транспортная доступность -5 минут до метро.
15 минут пешком от Павелецкого вокзала 
15 минут пешком и вы у Кремля.
Бункер Сталина.
Набережная реки Москвы.
Театр на Таганке.
Велопрокат через дорогу.

As I have mentioned Taganskaya metro station is 5 minutes away. Paveletsky railway station is 20 minutes walking distance or 1 bus stop by Trolleybus B.

I have recently completed the renovation and trying to make the apartment more comfortable. Let me know in advance what you might need and I will try to get it there.",,6,46383197,False,False,False,55.73893970306484,37.64807367032544,0.89,RUB,9,75,0,5524,Квартира,False,10.0,10.0,9.0,10.0,10.0,10.0,89,Дом/квартира целиком,,,5.0,0.93
