"first_name","Sex"
"Aalija","f"
"Aanzhella","f"
"Aba","f"
"Abav","f"
"Abam","f"
"Abahanum","f"
"Abash","f"
"Abbaza","f"
"Abgjul'","f"
"Abduzhalija","f"
"Abdulnija","f"
"Abdulpetta","f"
"Abdul'ka","f"
"Abdupatta","f"
"Abdurasul'","f"
"Abdurefi","f"
"Abduroma","f"
"Abdjul'","f"
"Abelina","f"
"Abel'","f"
"Abibat","f"
"Abigejl'","f"
"Abigel'","f"
"Abika","f"
"Abilfetta","f"
"Abljalil'","f"
"Abragina","f"
"Abramija","f"
"Abrasha","f"
"Abriia","f"
"Abuvatfa","f"
"Abuzar'","f"
"Abul'faza","f"
"Abusja","f"
"Abuta","f"
"Abutaima","f"
"Avageja","f"
"Avanda","f"
"Avanna","f"
"Avasharfa","f"
"Avasherfa","f"
"Avashharfa","f"
"Avgalifena","f"
"Avgela","f"
"Avgenija","f"
"Avginnja","f"
"Avgusita","f"
"Avgusta","f"
"Avgustina","f"
"Avgustinija","f"
"Avdija","f"
"Avdokija","f"
"Avdolja","f"
"Avdotija","f"
"Avdot'ja","f"
"Avdoha","f"
"Avelina","f"
"Avelija","f"
"Avelja","f"
"Avengilina","f"
"Avenila","f"
"Avenija","f"
"Aventina","f"
"Avera","f"
"Averesa","f"
"Averida","f"
"Averija","f"
"Aveta","f"
"Avetlana","f"
"Avetra","f"
"Avza","f"
"Avzal'","f"
"Avia","f"
"Aviada","f"
"Aviana","f"
"Aviata","f"
"Aviatta","f"
"Avigeja","f"
"Avieta","f"
"Avizija","f"
"Avila","f"
"Avilina","f"
"Avina","f"
"Aviona","f"
"Avireza","f"
"Avital'","f"
"Avisha","f"
"Avijeta","f"
"Avija","f"
"Avksenija","f"
"Avksentija","f"
"Avlat","f"
"Avlevtina","f"
"Avlentina","f"
"Avlina","f"
"Avlora","f"
"Avmrozija","f"
"Avnda","f"
"Avnendra","f"
"Avnizija","f"
"Avorika","f"
"Avralija","f"
"Avramija","f"
"Avrela","f"
"Avrelija","f"
"Avrelka","f"
"Avrel'ka","f"
"Avrelja","f"
"Avremija","f"
"Avrijka","f"
"Avrika","f"
"Avrilija","f"
"Avrilijana","f"
"Avril'","f"
"Avrilja","f"
"Avrinija","f"
"Avroza","f"
"Avronija","f"
"Avronja","f"
"Avrora","f"
"Avrosija","f"
"Avrura","f"
"Avrustina","f"
"Avrusja","f"
"Avruca","f"
"Avryda","f"
"Avtandija","f"
"Avtelina","f"
"Avtolina","f"
"Avtomaska","f"
"Avtondija","f"
"Avtonina","f"
"Avula","f"
"Agaatje","f"
"Agavala","f"
"Agavara","f"
"Agavija","f"
"Agavnja","f"
"Agagjul'","f"
"Agada","f"
"Agadzhuma","f"
"Agadija","f"
"Agadpeja","f"
"Agalina","f"
"Agalirza","f"
"Agamerza","f"
"Agamirza","f"
"Aganda","f"
"Aganeta","f"
"Aganisa","f"
"Aganija","f"
"Aganja","f"
"Agaorija","f"
"Agapeja","f"
"Agapi","f"
"Agapija","f"
"Agapka","f"
"Agap'ja","f"
"Agariza","f"
"Agarija","f"
"Agarpena","f"
"Agarpina","f"
"Agarpyna","f"
"Agarp'ja","f"
"Agar'ja","f"
"Agasija","f"
"Agastrija","f"
"Agasja","f"
"Agat","f"
"Agata","f"
"Agatina","f"
"Agatija","f"
"Agat'ja","f"
"Agatja","f"
"Agafa","f"
"Agafena","f"
"Agafenija","f"
"Agafeja","f"
"Agafia","f"
"Agafin'ja","f"
"Agafija","f"
"Agafonija","f"
"Agafonja","f"
"Agafrina","f"
"Agaf'ja","f"
"Agafja","f"
"Agasha","f"
"Agajesa","f"
"Agba","f"
"Aggeja","f"
"Aggolina","f"
"Aggjul'","f"
"Agdija","f"
"Agejla","f"
"Agentina","f"
"Agerpina","f"
"Agzhana","f"
"Agzhanat'","f"
"Agida","f"
"Agieta","f"
"Agilna","f"
"Agil'","f"
"Agilja","f"
"Agina","f"
"Agint'ja","f"
"Agista","f"
"Agita","f"
"Agitina","f"
"Agica","f"
"Agija","f"
"Aglaida","f"
"Aglanja","f"
"Aglarija","f"
"Aglafira","f"
"Aglaja","f"
"Aglera","f"
"Aglefija","f"
"Agleja","f"
"Aglikerija","f"
"Aglina","f"
"Agliulla","f"
"Aglija","f"
"Aglukerija","f"
"Aglja","f"
"Agmessa","f"
"Agnastasija","f"
"Agne","f"
"Agnevna","f"
"Agnezhka","f"
"Agnezija","f"
