Air_conditioning,Breakfast,Buzzer_wireless_intercom,Cable_TV,Carbon_monoxide_detector,Doorman,Dryer,Elevator_in_building,Essentials,Family_kid_friendly,Fire_extinguisher,First_aid_kit,Free_parking_on_premises,Free_parking_on_street,Gym,Hair_dryer,Hangers,Heating,Hot_tub,Indoor_fireplace,Internet,Iron,Kitchen,Laptop_friendly_workspace,Lock_on_bedroom_door,Paid_parking_off_premises,Pets_allowed,Pool,Safety_card,Self_Check_In,Shampoo,Smoke_detector,Smoking_allowed,Suitable_for_events,TV,Washer,Wheelchair_accessible,Wireless_Internet,apart_id,apart_name,at_page,bathrooms,bed_type,bedrooms,beds,cancellation_policy,city,cleaning_fee_native,description,extra_price_native,guests_included,host_id,in_building,instant_bookable,is_location_exact,lat,lng,monthly_price_factor,native_currency,person_capacity,picture_count,price_for_extra_person_native,price_native,property_type,require_guest_phone_verification,review_rating_accuracy,review_rating_checkin,review_rating_cleanliness,review_rating_communication,review_rating_location,review_rating_value,reviews_count,room_type,special_offer,square_feet,star_rating,weekly_price_factor
False,False,True,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,True,True,True,False,False,False,True,False,True,5764174,Gamayun apartments,0,1.0,Настоящая кровать,0,1,moderate,Санкт-Петербург,,"Хотите пожить в доме, где более 200 лет назад жил Пушкин? Приглашаем вас в самое сердце Петербурга, в Gamayun apartments, на Соляной переулок. Один из самых живописных и тихих уголков города. 5 мин пешком до Летнего сада, 20 - до Эрмитажа.

Только что отремонтированная студия со всеми удобствами в самом центре Петербурга. В пешей доступности масса кафе, ресторанов, достопримечательностей. До Летнего сада и Марсового поля пешком 5 мин, до Спаса-на-Крови - 7 мин. Потрясающий старинный дом. Очень тихое место: пешеходная улица, все окна - во двор.

Возможна парковка на улице напротив дома. Запрещено курить в квартире и на балконе. Для вашего малыша мы можем предоставить кроватку, ванночку и стульчик для кормления.

При желании могу составить турпрограмму по городу. Оставляем каждому гостю памятку с интересными местами.

Квартира расположена на самой красивой улице Петербурга, в сердце города, на Соляном переулке. Одно из самых старинных мест в городе. Напротив парадной - потрясающее здание академии Штиглица. На этой улице жили Чайковский, Калинин, Висконти, учились в гимназии Мережковский, Маршак и Зощенко. В доме 14 по Соляному переулку когда-то жил Пушкин... Здесь история оживает на глазах - приезжайте и насладитесь красотой Петербурга.

15 минут пешком до метро Чернышевская. 15 минут пешком до Невского пр.

Обращаем ваше внимание, что по умолчанию выезд осуществляется до 12:00, а заселение - после 14:00. Однако мы всегда пойдем навстречу гостям, если есть возможность. Пожалуйста, проинформируйте нас заранее, во сколько вы планируете заселиться и выезжать.
Ранний заезд или поздний выезд предоставляется без дополнительной оплаты, но по возможности. Также обращаем ваше внимание, что за заселение в ночное время (с 00:00 до 06:00) мы взимаем плату 1000 руб.",,1,14224562,False,True,True,59.94393504009295,30.34064357298455,0.73,RUB,2,27,0,3373,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,123,Дом/квартира целиком,,,5.0,0.9
True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,True,False,True,False,False,False,False,True,False,True,16092837,Your Space(capsule hostel),0,8.0,Настоящая кровать,1,1,flexible,Санкт-Петербург,,"Капсульный отель - революционный тип размещения, который отличается от хостела комфортом и обособленностью по той же цене

1 - капcульный отель. Максимум приватности и комфорта при доступной цене.
2 - центр Петербурга. В шаговой доступности от всех главных достопримечательностей города.
3 - мы находимся в Голицын Лофт, вокруг море замечательных мест, которые можно посетить)",,1,16631488,False,True,False,59.93980565724539,30.3412594518715,0.8,RUB,1,19,0,640,Хостел,False,10.0,10.0,10.0,10.0,10.0,10.0,5,Отдельная комната,,,4.5,0.85
False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,False,False,True,True,False,True,15205345,"Новая уютная студия в центре, Сенная площадь",0,1.0,Настоящая кровать,1,1,strict,Sankt-Peterburg,679.0,"Погрузитесь в историю и поживите в самом центре Санкт-Петербурга. Расположение идеально подходит для осмотра достопримечательностей и даёт возможность сразу почувствовать особую атмосферу исторического Петербурга. Всего несколько минут ходьбы до Исаакиевского собора, наиболее впечатляющего здания города.
При этом сама квартира - современная, светлая и комфортабельная!

Современная стильная светлая квартира-студия в историческом центре Санкт-Петербурга.
Вокруг множество магазинов, баров и ресторанов, в пешей доступности 2 крупных торговых центра и 3 станции метро, а также главные достопримечательности города.

Важные факты:
- Исключительное расположение в историческом центре города
- 2х спальный раскладывающийся диван
- Полотенца, постельное белье и т.д. 
- Посуда в кухне и принадлежности для ванной
- Чистый светлый современный интерьер
- Высокоскоростной интернет WIFI
- Стиральная машина, микроволновая печь, телевизор, плита с вытяжкой, фен, утюг, вешалки, гладильная доска и т.д.
- В зимний период тепло (хорошее отопление), в течение лета довольно прохладно (толстые стены)

Иметь ввиду:
* Наиболее подходящее место для осмотра достопримечательностей, посещения вечеринок и расслабленной, комфортной жизни..

Вы получите свой собственный ключ и можете свободно использовать все удобства выше перечисленные, приходить и выходить как вам удобно.

Я всегда доступна по телефону и рада вам помочь по любому вопросу.

You live absolutely centrally in the heart of the city, surrounded by bars, restaurants and sight seeing spots. Everything is within walking distance, no matter if you go for sightseeing, partying, shopping, dinner …

Станции метро Садовая/Сенная/Спасская находятся в 2-3х минутах ходьбы.
Сенная площадь - один из главных транспортных узлов Санкт-Петербурга, через который проходят маршруты автобусов, трамваев, троллейбусов, маршрутных такси практически во все районы города.

Если вам необходима встреча из аэропорта или с любого вокзала, мы можем это организовать. Сообщите время вашего прибытия.",,1,2593875,False,True,False,59.928590409721586,30.316395060639042,0.93,RUB,2,36,494,1803,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,17,Дом/квартира целиком,,,5.0,0.97
False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,14450453,2-х комнатная квартира 10 минут от метро.,0,1.0,Диван-кровать,2,2,flexible,Sankt-Peterburg,,"Гостеприимная, уютная,теплая квартира в 2-х комнатной квартире со свежим ремонтом и всем необходимым  для комфортного проживания.  .Кухня  и комната оборудована всем необходимым .Всегда чистое и свежее постельное белье.
От квартиры до метро  10 минут пешком . До Московского вокзала 30 минут на транспорте,20 минут на метро.От аэропорта до квартиры 20 минут.
В 5 минутах от дома пруды с возможностью отдохнуть на природе не выезжая за город.
Удобная инфраструктура: магазины, кафе, салоны красоты.

Квартира со свежим ремонтом,где есть все необходимое для Вашего комфортного проживания:чистое постельное белье,утюг,гладильная доска ,стиральная машина,чай,кофе,вся необходимая посуда, телевизор с плоским экраном.

Все помещения квартиры.

Я с удовольствием помогу Вам в течении всего времени пребывания в городе.

В шаговой доступности есть уголок живой природы с озерами-парк Интернационалистов ,в котором расположено кафе с видом на озеро.
Для того, чтобы попасть на главную артерию города Невский проспект, Вам достаточно 20 минут  от ст.метро Международной до ст.метро Адмиралтейская.

Хорошая транспортная доступность. Много автобусом, до метро 10 минут пешком.Идеально подходит для гостей,приезжающих на машине.Рядом 3 съезда с кольцевой(съезды на Дунайский и Витебский проспекты.Также на проспект Обуховской Обороны.От ближайшего съезда(Дунайский проспект -5 минут на машине)",,3,87498064,False,True,True,59.86210594047741,30.388667302381997,0.85,RUB,4,26,600,1221,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,1,Дом/квартира целиком,,,,0.9
False,False,True,False,False,True,False,True,True,True,False,False,True,False,True,True,True,True,False,False,True,True,True,True,False,False,False,True,False,False,True,True,False,False,True,True,False,True,14051682,"Просторная супер квартира,у метро",0,1.0,Настоящая кровать,1,2,moderate,Санкт-Петербург,,"Отличный район Черной речки, рядом два парка, две станции метро в шаговой доступности. В 300 метрах спортивный зал, бассейн 25 метров, скалодром. Новый дом, оборудован подземным паркингом.
Chornaya Rechka (Black River) area, nearby two parks and two metro stations, gym with swimming pool. The flat is in a new building.

Квартира 46 кв.м., очень просторная и светлая. Новый кирпично-монолитный дом, очень теплый, в квартире хороший ремонт. Можем принять гостей в любое удобное для них время, предоставим информацию о городе, мероприятиях. Всегда рады будем видеть Вас.
New building, there is warm in flat during winter.

Washing-machine, dishwasher, comfortable double bed, TV, sofa-bed, balcony, underground parking. 
Стиральная машина, посудомоечная машина, удобная кровать, диван, телевизор, балкон, горячая вода центральная, дополнительно есть электрический бойлер, подземный паркинг.

My husband and I leave in the same building and can help with info, etc. Speak English, German. Живем в этом же доме, в любой момент готовы  помочь.

Рядом 2 парка, недалеко 2 станции метро, окна выходят в тихий, зеленый двор. Днем и ночью в квартире очень тихо.
Two parks located nearby, windows to green court, no noise.

Three stations till Nevskiy Prospect by metro, all public transport available. Nearby train stop to Finnish gulf. До станции метро Пионерская 900 метров, до станции метро Черная речка 1200 м, 3 остановки до станции Невский проспект, рядом все виды общественного транспорта, недалеко остановка электрички до Финского залива.

Blue line metro",,3,17150486,False,False,False,59.997709302271396,30.314701394366004,0.85,RUB,4,35,295,1396,Квартира,False,10.0,10.0,10.0,10.0,9.0,10.0,13,Дом/квартира целиком,,,5.0,0.93
False,False,False,True,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,True,False,True,8734784,2 комн квартира,0,1.0,Настоящая кровать,1,1,flexible,Sankt-Peterburg,,2 комн квартира,,1,45828453,False,False,True,60.07734104008813,30.33833801835121,1.0,RUB,2,2,0,3082,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,4,Дом/квартира целиком,,,5.0,1.0
False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,15095144,Central & Quiet Moika River Apt by the Red Bridge,0,1.0,Настоящая кровать,1,2,flexible,Sankt-Peterburg,465.0,"Central but quiet 1 bedroom apartment with best coordinates! Old St Petersburg starting from your doorsteps, all within walking distance: St Isaac's Cathedral 5 min, Hermitage Museum 10 min, Yusupov's Palace 15 min, Mariinsky Theatre 20 min walk, close to Metro and bus station 5 min (400 meters). Perfect location to feel the city: historical district on the quiet Moika River embankment in 18 century building near the Red Bridge. When you walk out the apartment and understand, this is Petersburg.",,2,3692455,False,False,True,59.93206298891405,30.31539450742349,0.8,RUB,3,45,581,1337,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,21,Дом/квартира целиком,,,5.0,0.95
False,False,False,False,False,False,True,True,True,True,False,False,True,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,True,True,False,True,13730789,Просторная квартира в центре Санкт-Петербурга,0,1.0,Настоящая кровать,2,3,strict,Saint Petersburg,,"Квартира находится в самом центре Санкт-Петербурга. В пешей доступности множество достопримечательностей, таких как река фонтанка, Невский проспект, Казанский и Исаакиевский соборы и много много все интересного)). 
Квартира очень уютная и светлая, в ней вы будете чувствовать себя как дома)) Имеется все необходимое для комфортного проживания! Замечательный район и выход сразу на потрясающую реку Фонтанка, с которой виден Троицкий собор....",,1,80317217,False,True,False,59.92634412392935,30.327929667178516,0.7,RUB,6,14,0,4012,Квартира,False,10.0,10.0,10.0,10.0,8.0,10.0,1,Дом/квартира целиком,,,,0.88
False,False,True,False,False,False,True,True,True,True,False,False,True,False,False,True,True,True,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,6313758,Cosy&bright flat near Petrogradskaya,0,1.0,Настоящая кровать,1,1,strict,Sankt-Peterburg,700.0,"Расположенная в 5 мин от ст. м. Петроградская студия с интереснейшим ярким дизайном в окружении популярных баров, приятных кафе и модных бутиков.

Мы предусмотрели все, что вам может понадобиться для комфортной жизни как на пару дней, так и в течение длительного периода. Квартира небольшая, но безумно уютная, включает в себя общую зону гостиной и кухни со всей необходимой бытовой техникой (холодильник, посудомоечная машина, плита, микроволновая печь, чайник) и посудой, спальню с полноценной двуспальной кроватью для комфортного сна, ТВ, комодом, ярким креслом и мягким освещением. Ванная оборудована душем, для вашего удобства есть стиральная машина и фен. Обязательно оставим для вас мягкие полотенца и банные принадлежности. При заселении подскажем пароль от бесплатного WiFi.

В квартире вы найдете информацию  о том, где вкусно поесть, куда сходить вечером. А в течение вашего пребывания вы смело можете обращаться к нам с любым вопросом: подскажем, какое такси лучше выбрать, в какой театр или кино сходить, где найти интересную экскурсию.

Петроградка – один из старейших районов города, в котором беспрецедентно уживаются деловой центр, огромные тенистые парки и тусовочные места города. Это район для ценителей настоящей городской жизни: чтобы ни пришло на ум, все вмещает в себя Петроградка. Музеи, зоопарк, важнейшие памятники истории России, выставочные залы, театры, парки и скверы, брендовые магазины и крошечные лавочки, известнейшие в городе рестораны, винные бары и кондитерские, мечеть и монастырь, бассейны и спортзалы, стадионы, пляжи, теннисные корты.",,1,2285714,False,True,True,59.96726059091166,30.30370732826389,,RUB,2,7,0,2733,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,68,Дом/квартира целиком,,,5.0,
False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,False,False,True,False,False,True,False,True,False,True,16424505,cozy mansard with roof view,0,1.0,Настоящая кровать,1,1,flexible,Sankt-Peterburg,500.0,"Небольшая уютная квартира в мансарде старого дома с видом на крыши. Предложение для сильных духом - шестой этаж, лифта нет :) Пять минут прогулочным шагом до метро, 50 метров до Среднего проспекта с его магазинами. В квартире тихо. В квартире есть абсолютно все для пребывания, в т.ч. полностью оборудованная кухня. В дополнение к кровати есть двухместный диван. В квартире установлена охранная сигнализация.

В квартире только что сделан евроремонт. Прекрасно подойдет как для деловой поездки, так и для отдыха.

Однокомнатная квартира площадью 32 м2 с отдельной кухней, санузел с душем. В комнате двухспальная кровать и двухместный диван-кровать. Кухня содержит всю необходимую посуду и бытовую технику для приготовления и употребления пищи. Есть стиральная машина, чистое постельное белье и полотенца включены в стоимость проживания.

Доступен по имэйлу и телефону в любое время. При встрече расскажу о районе, объясню, где находятся магазины и как добраться до достопримечательностей.

Рядом метро, остановки автобусов и трамваев

Готов встретить на машине в аэропорту или на вокзале за плату в размере 500 руб (что значительно  дешевле такси)",,2,66367859,False,False,True,59.942176787923295,30.273873687176405,0.75,RUB,2,11,0,2326,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,1,Дом/квартира целиком,,,,0.85
