Air_conditioning,Breakfast,Buzzer_wireless_intercom,Cable_TV,Carbon_monoxide_detector,Doorman,Dryer,Elevator_in_building,Essentials,Family_kid_friendly,Fire_extinguisher,First_aid_kit,Free_parking_on_premises,Free_parking_on_street,Gym,Hair_dryer,Hangers,Heating,Hot_tub,Indoor_fireplace,Internet,Iron,Kitchen,Laptop_friendly_workspace,Lock_on_bedroom_door,Paid_parking_off_premises,Pets_allowed,Pool,Safety_card,Self_Check_In,Shampoo,Smoke_detector,Smoking_allowed,Suitable_for_events,TV,Washer,Wheelchair_accessible,Wireless_Internet,apart_id,apart_name,bathrooms,bed_type,bedrooms,beds,cancellation_policy,city,cleaning_fee_native,country,description,extra_price_native,extra_user_info,guests_included,has_agreed_to_legal_terms,host_id,house_rules,in_building,instant_bookable,interaction,is_location_exact,lat,lng,max_nights,min_nights,monthly_price_factor,native_currency,neighborhood,neighborhood_overview,notes,person_capacity,photo_url,picture_count,price_for_extra_person_native,price_native,property_type,require_guest_phone_verification,review_rating_accuracy,review_rating_checkin,review_rating_cleanliness,review_rating_communication,review_rating_location,review_rating_value,reviews_count,room_type,room_type_category,space,square_feet,star_rating,transit,url,weekly_price_factor
False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,False,True,True,False,True,4705933,Комфортная и просторная квартира,1.0,Диван-кровать,1.0,2.0,moderate,Казань,375.0,,"Наша квартира расположена в удобнейшем месте: в нескольких минутах ходьбы - аквапарк, в 15 - метро, а добраться до центра на автомобиле вы сможете, максимум, за 10. В качестве приятного дополнения: охраняемый двор и несколько супермаркетов поблизости

После гостя мы проводим влажную уборку, меняем постельное белье и полотенца. Посуду отправляем в посудомоечную машину. 
Если вы курите, то просим делать это на балконе.

К услугам гостей стиральная и посудомоечная машина, интернет и телевизор. В квартире есть всё для комфортного быта: утюг, фен, гладильная доска, небольшая библиотека. Кухня тоже полностью укомплектована: встроенный фильтр для воды, микроволновая печь и вся необходимая посуда. На случай отключения горячей воды (что случается крайне редко) можно включить водонагреватель. Кухня и коридор оборудованы ""теплыми полами"".

Мы на связи 24/7!:) С радостью ответим на любой вопрос.

Тихий и семейный район, откуда легко добраться до центра города. Квартира расположена на втором этаже пятиэтажного дома в охраняемом дворе.

Автобусная остановка в минуте и станция метро.в 15-ти минутах ходьбы. Автобусы ходят регулярно. От аэропорта вы сможете добраться на такси или на аэроэкспрессе с пересадками.

В доме на первом этаже открылось кафе с домашней кухней. А в доме напротив - продуктовые магазины. На противоположной стороне улицы комплекс заведений: кофейня с вкусными завтраками, пивной бар, ресторан, а также супермаркет домашней еды ""Бэхетле"" с большим выбором национальной кухни. До знаменитого аквапарка ""Ривьера"" можно добраться пешком, это займет не больше 10 минут. Поболеть за любимую хоккейную команду можно в ""Татнефть Арене"", что в 5 минутах ходьбы от дома. 
Рядом с домом есть охраняемая платная стоянка, но машину можно оставить и за пределами двора.",,,2,,6821336,"В квартире нельзя курить, шуметь, а также приводить в гости толпу веселых друзей. Не то чтобы мы против больших и разнузданных праздников, но, боимся, что соседи не оценят такого куража. 
Так же просим не бросать туалетную бумагу в унитаз (опасаемся, что это чревато последствиями), а также не есть в кровати (понимаем, соблазн велик, но пятна на простынях после сытного обеда не поддаются стирке). 
А еще нам будет приятно, если после своего пребывания вы вынесете за собой мусор (мусорные контейнеры справа от дома). Благодарим за понимание!:)",False,False,Мы на связи 24/7!:) С радостью ответим на любой вопрос.,True,55.819455014377816,49.11808903824655,1125,2,0.85,RUB,,,"В доме на первом этаже открылось кафе с домашней кухней. А в доме напротив - продуктовые магазины. На противоположной стороне улицы комплекс заведений: кофейня с вкусными завтраками, пивной бар, ресторан, а также супермаркет домашней еды ""Бэхетле"" с большим выбором национальной кухни. До знаменитого аквапарка ""Ривьера"" можно добраться пешком, это займет не больше 10 минут. Поболеть за любимую хоккейную команду можно в ""Татнефть Арене"", что в 5 минутах ходьбы от дома. 
Рядом с домом есть охраняемая платная стоянка, но машину можно оставить и за пределами двора.",3,,18,325,1238,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,31,Дом/квартира целиком,entire_home,"После гостя мы проводим влажную уборку, меняем постельное белье и полотенца. Посуду отправляем в посудомоечную машину. 
Если вы курите, то просим делать это на балконе.",,5.0,Автобусная остановка в минуте и станция метро.в 15-ти минутах ходьбы. Автобусы ходят регулярно. От аэропорта вы сможете добраться на такси или на аэроэкспрессе с пересадками.,https://www.airbnb.com/rooms/4705933,0.9
False,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,True,True,False,False,17153091,"Квартира напротив стадиона ""Казань Арена""",1.0,Настоящая кровать,1.0,1.0,moderate,Kazan,,,"Небольшая, уютная квартира рядом со стадионом ""Казань Арена"" , Дворцом водных видов спорта и Аквапарком ""Ривьера"". Дом находиться в хорошем районе с отличной транспортной развязкой и большим количеством общественного транспорта. В пяти минутах ходьбы расположены торговые центры: ""XL"" и ""Савиново"", а в трёх остановках - ТРК ""Парк Хаус"".",,,1,True,38375331,,False,True,,True,55.822460110536,49.153639087493644,1125,1,,RUB,,,,2,,26,0,884,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,3,Дом/квартира целиком,entire_home,,,5.0,,https://www.airbnb.com/rooms/17153091,
False,False,True,True,True,False,False,True,True,True,True,True,True,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,12526392,"Удачные аппартаменты ""на Дачной""!",1.0,Настоящая кровать,1.0,2.0,moderate,Kazan,,,"Удачные апартаменты ""на Дачной"" - это комната и кухня в сердце Казани. Чисто и по домашнему уютно. Огромная лоджия, отделанная деревом с креслом для медитаций. Уютное, тихое место. Есть все что нужно, что бы восстановить силы для нового дня.

Комната 22 кв.м. Телевизор, современный Шкаф-купе, стол для работы, и дополнительная складная кровать для гостей. Оборудованная ванная комната с стиральной машинкой и кухня со всеми бытовыми приборами. Имеется кулер с питьевой водой.

Гостям доступны, цифровое ТВ-120 Каналов, кухня и кухонная утварь на 4 персоны, микроволновая печь, холодильник, кастрюли, сковородка, стиральная машинка, гладильная доска, сушилка для белья, подключен wi-fi

Мы можем встретить Вас в аэропорту и проводить при необходимости на вокзал. А также готовы порекомендовать редкие малоизвестные широкому кругу достопримечательности старой Казани.

Район уникален тем, что это действительный географический центр города. Внешним видом совмещает, в себе действительную старую ""одноэтажную Казань"" с современными районами. Это центр Казани, в то же время, находящийся в тихом месте, где не слышно шума цивилизации. Нарушить покой может только пение птиц.

Остановка общественного транспорта ""Аметьево"". В 7-8 минутах ходьбы находится станция метро ""Аметьево"". До Казанского Кремля 3 станции метро. Прямой автобус идет до железнодорожного вокзала. Возле дома находится парковка. Прямой автобус до ж/д вокзала. 4 станции метро до парка ""кырлай"". 3 станции метро до новой Казанской набережной. Удобно добираться до аквапарка""Ривьера"".

Квартира расположена в географическом центре города Казань. Одинаково хорошо и быстро добираться как в Кремль, так и ставший почти обязательной программой при посещении города - Аквапарк ""Ривеьера"". Магазины Мега и Икея также хорошо доступны для посещения.",,,1,True,67858615,"Мы поддерживаем чистоту и порядок в квартире на регулярной основе собственным трудом. Это наше жилище. Правилами дома не предусмотрено курение, и шумное времяпрепровождения. Мы рады нашим гостям и очень просим соблюдать чистоту и порядок.",False,False,Мы можем встретить Вас в аэропорту и проводить при необходимости на вокзал. А также готовы порекомендовать редкие малоизвестные широкому кругу достопримечательности старой Казани.,True,55.771609993746594,49.167864090510065,1125,1,0.72,RUB,,,"Квартира расположена в географическом центре города Казань. Одинаково хорошо и быстро добираться как в Кремль, так и ставший почти обязательной программой при посещении города - Аквапарк ""Ривеьера"". Магазины Мега и Икея также хорошо доступны для посещения.",3,,14,0,825,Квартира,False,10.0,10.0,10.0,10.0,9.0,10.0,27,Дом/квартира целиком,entire_home,"Комната 22 кв.м. Телевизор, современный Шкаф-купе, стол для работы, и дополнительная складная кровать для гостей. Оборудованная ванная комната с стиральной машинкой и кухня со всеми бытовыми приборами. Имеется кулер с питьевой водой.",,5.0,"Остановка общественного транспорта ""Аметьево"". В 7-8 минутах ходьбы находится станция метро ""Аметьево"". До Казанского Кремля 3 станции метро. Прямой автобус идет до железнодорожного вокзала. Возле дома находится парковка. Прямой автобус до ж/д вокзала. 4 станции метро до парка ""кырлай"". 3 станции метро до новой Казанской набережной. Удобно добираться до аквапарка""Ривьера"".",https://www.airbnb.com/rooms/12526392,0.9
False,False,False,False,False,False,False,True,True,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,16182071,Riviera Aquapark Apartments,1.0,Настоящая кровать,1.0,2.0,flexible,Kazan,520.0,,"Однокомнатная чистая и уютная квартира расположена в уникальном туристическом районе города. 
До набережной c видом на Кремль всего 3 минуты, 300 метров до аквапарка ""Ривьера"",колеса обозрения ""Вокруг света"", Татнефть-Арены. В шаговой доступности много ресторанов, развлекательный центр, кинотеатр, ""Ашан"".

Предоставляются стиральная машина, микроволновая печь, посуда, холодильник, чайник, гладильные принадлежности и сушилка. 

Всегда чистые постельное белье и полотенца, бесплатный Wi-Fi.

Уютная квартира после ремонта со всем необходимым в очень удобном месте!

Удобная транспортная инфраструктура, бесплатная парковка во дворе дома, детская площадка.

Огромное количество ресторанов, развлекательных, торговых центров и продуктовый магазин ""АШАН"".
В шаговой доступности расположен аквапарк ""Ривьера"", Колесо обозрения и прогулочная набережная.С набережной Ново-Савиновского района открывается масштабная панорама на город, Кремль. 
Здесь расположены важнейшие объекты летней Универсиады 2013 года, Чемпионата мира по футболу 2018 — Kazan-arena, Дворец водных видов спорта, Дворец единоборств «Ак Барс», Татнефть-Арена.

Ближайшая остановка общественного транспорта Татнефть-Арена в 4 минутах ходьбы.
Бесплатная парковка во дворе дома.",,,2,True,105659751,,False,True,,True,55.82085178717305,49.12588364209748,1125,2,1.0,RUB,,,,4,,9,320,943,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,6,Дом/квартира целиком,entire_home,Уютная квартира после ремонта со всем необходимым в очень удобном месте!,,5.0,"Ближайшая остановка общественного транспорта Татнефть-Арена в 4 минутах ходьбы.
Бесплатная парковка во дворе дома.",https://www.airbnb.com/rooms/16182071,1.0
False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,True,True,True,False,False,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,True,False,True,3566354,Studii Kazani na Zhukovskogo (studio 2),1.0,Диван-кровать,1.0,1.0,moderate,Kazan,350.0,,"Максимальная функциональность за разумные деньги в тихом уголке центра города. Можно спать с открытым окном, не пугаясь шума ночного города. Есть все необходимое для комфортного кратковременного проживания, за исключением плиты (центр города, вокруг масса кафе) и телевизора (есть wi-fi). Всегда горячая вода (большой водонагреватель), икеевский диван, чистое белье и качественная уборка. Студия сдается под пультовую охрану, предоставляются ""белые"" отчетные документы. Добро пожаловать!

Новый формат жилья  - полностью изолированные квартиры студии  небольшой площади со свежим ремонтом, качественной новой мебелью (ИКЕА) и всей необходимой техникой (также новой), обеспечивающей комфортное проживание двоих взрослых гостей. Все достопримечательности центральной части города находятся в шаговой доступности.

Студия оборудована мебелью Икеа, Wi-Fi, туалетной и душевой комнатами, душем, холодильником, микроволновкой, стиральной машиной, водонагревателем, электрочайником, утюгом, сушилкой для белья, столовыми приборами, комплектом постельного белья и полотенец. Для Вашего спокойствия студия сдается под сигнализацию.

Наша задача - Ваш комфорт. Мы в любое время суток встречаем и провожаем Вас на вокзал либо в аэропорт, весь период Вашего пребывания в Казани доступны на мобильном, в экстренных случаях при Вашем обращении готовы подъехать и оказать любую помощь))). В остальных случаях стараемся Вас как можно меньше беспокоить.

Центр города.... Круглосуточный продуктовый магазин в соседнем здании))))

10-15 минут пешком до двух станций метро, хорошая транспортная развязка, беспроблемная парковка.",,,1,,15643699,"Запрещено курить, громко шуметь и злоупотреблять спиртным!",False,False,"Наша задача - Ваш комфорт. Мы в любое время суток встречаем и провожаем Вас на вокзал либо в аэропорт, весь период Вашего пребывания в Казани доступны на мобильном, в экстренных случаях при Вашем обращении готовы подъехать и оказать любую помощь))). В остальных случаях стараемся Вас как можно меньше беспокоить.",True,55.79768028379187,49.13028766953353,1125,2,0.85,RUB,,,,2,,8,0,1297,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,30,Дом/квартира целиком,entire_home,"Новый формат жилья  - полностью изолированные квартиры студии  небольшой площади со свежим ремонтом, качественной новой мебелью (ИКЕА) и всей необходимой техникой (также новой), обеспечивающей комфортное проживание двоих взрослых гостей. Все достопримечательности центральной части города находятся в шаговой доступности.",,4.5,"10-15 минут пешком до двух станций метро, хорошая транспортная развязка, беспроблемная парковка.",https://www.airbnb.com/rooms/3566354,0.89
False,False,True,True,False,True,True,True,True,True,True,False,True,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,False,False,False,True,True,False,True,False,True,True,12697726,Уютные апартаменты на 15этаже,1.0,Настоящая кровать,1.0,2.0,moderate,Казань,,,"Отличный вариант за разумные деньги! В квартире есть все для комфорта и даже больше. Удобное расположение в шаговой доступности Аквапарк Ривьера, Татнефть-Арена, мечеть, много ресторанов, куча кафешек. Совсем близко исторический центр Казани. Апартаменты вмещают до 4человек, можно с детишками

Чистая, уютная, комфортная для проживания квартира с хорошим ремонтом и шикарным видом на достопримечательности Казани. Квартира находится на 15 этаже и, поверьте, с такой высоты, стоя на балконе, видно весь город. Квартира состоит из 2 больших раздельных комнат: кухня и спальня, также есть раздельный санузел и ванная комната, вместительный коридор. Вы будите чувствовать себя комфортно и уютно.
В квартире проведен высокоскоростной интернет и кабельное телевидение.

Квартира укомплектована современной мебелью и техникой.
1) Комфорт:
- 2-х спальная кровать с ортопедическим матрасом;
- чистое проглаженное постельное белье;
- комод;
- шкаф для одежды;
- фен;
- утюг; 
- гладильная доска;
- сушилка для белья.
2) Кухня:
- холодильник;
- кухонный гарнитур;
- диван раскрадывающийся производства Икеа;
- посуда для приготовления пищи;
- столовые приборы;
- посуда для приема пищи;
- электрическая плита;
- микроволновая печь;
- электрический чайник;
- мультиварка;
Из крана всегда течет горячая вода (несмотря на высокий этаж).
3) Для отдыха:
- Ж/к телевизор;
- кабельное телевидение с каналами HD-качества;
- интернет wi-fi.
4) ванна и туалет:
- полотенца большие и маленькие для рук;
- жидкое мыло;
- стиральный порошок;
- ванная;
- умывальник;
- зеркало;
- туалетная бумага; 
 - ароматизатор;
5) Безопасность:
- железная дверь.

Пишите и звоните в любое время. Я обязательно отвечу;)

Рядом с домом автобусная остановка. Такси приезжает в течение 3 минут.",,,2,True,41406521,У нас не курят в помещении и не ходят в уличной обуви. Время заезда можно корректировать.,False,False,Пишите и звоните в любое время. Я обязательно отвечу;),False,55.82045942542299,49.14785488350409,1125,1,0.9,RUB,,,,5,,58,335,825,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,54,Дом/квартира целиком,entire_home,"Чистая, уютная, комфортная для проживания квартира с хорошим ремонтом и шикарным видом на достопримечательности Казани. Квартира находится на 15 этаже и, поверьте, с такой высоты, стоя на балконе, видно весь город. Квартира состоит из 2 больших раздельных комнат: кухня и спальня, также есть раздельный санузел и ванная комната, вместительный коридор. Вы будите чувствовать себя комфортно и уютно.
В квартире проведен высокоскоростной интернет и кабельное телевидение.",,5.0,Рядом с домом автобусная остановка. Такси приезжает в течение 3 минут.,https://www.airbnb.com/rooms/12697726,1.0
False,True,False,False,False,False,True,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,False,False,False,False,True,False,True,False,False,False,True,True,False,True,16856050,Уютная квартира дизайнера в Казани,1.0,Настоящая кровать,1.0,2.0,flexible,Казань,500.0,,"В уютной обстановке вы забудете, что вы в гостях, но город будет манить вас панорамным видом на  Кремль. На метро до центра ехать 10 минут. В квартире два двухместных дивана, просторная кухня , современный дизайн , уютная обстановка, удобная ванная комната. Новый 9 этажный дом с бесплатной парковкой. Есть музыкальный центр и большой телевизор, маленький холодильник, встраиваемая духовка и плита , стиральная машина и водонагреватель, Wi-Fi  и 360 каналов ТВ.  Жду вас в гости!

Я живу в этой квартире. Поэтому обстановка - домашняя , удобная и очень уютная.

Все что есть в квартире - доступно. Но пользоваться надо аккуратно.

Я всегда на связи.

Тихий район с шаговой доступностью до метро ( 5 минут) и других видов транспорта.

Любой вид транспорта.

Бесплатная парковка на придомовой территории. 200 парковочных мест.",,,1,True,112278131,"Можно пользоваться всем, что вы видите, но аккуратно. Ничего не ломать и ставить все по своим местам. Не устраивать шумных гулянок и не есть мои запасы и не пить моё вино. Постельным бельём пользоваться тем, что выделено. Кухонными принадлежностями можно пользоваться любыми . Стиральной машиной пользоваться можно. Есть небольшая библиотека, есть стол и 4 стула дополнительно к столу на кухне. Соблюдать порядок и ничего не портить, всем пользоваться аккуратно как у себя дома. Есть Wi- Fi   и 360 каналов ТВ. Я живу в этой квартире и у меня много всяких мелких сувениров, привезённых из путешествий. Прошу ничего не брать и не ломать - только смотреть.",False,False,Я всегда на связи.,False,55.853952728428226,49.074811454674055,32,1,0.51,RUB,,,Бесплатная парковка на придомовой территории. 200 парковочных мест.,4,,19,500,2004,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,1,Дом/квартира целиком,entire_home,"Я живу в этой квартире. Поэтому обстановка - домашняя , удобная и очень уютная.",,,Любой вид транспорта.,https://www.airbnb.com/rooms/16856050,0.79
False,False,False,False,False,False,False,True,True,False,False,False,True,False,False,False,True,True,False,False,False,True,True,True,True,False,False,False,True,False,True,False,False,False,True,True,False,False,17571601,Сдаю 1-ю кв-ру  в центре  Казани,1.5,Настоящая кровать,1.0,3.0,flexible,Kazan',,,"Рядом с моим жильем центр города,метро,театр кукол, суварплаза, айтипарк, бехэтле, медиц.центры,торговые центры. Мое жилье подходит для этого: пары, деловые путешественники и семьи (с детьми).",,,1,True,66156377,,False,True,,False,55.771245852840494,49.138690409392495,30,2,,RUB,,,,3,,11,0,1297,Квартира,False,,,,,,,0,Дом/квартира целиком,entire_home,,,,,https://www.airbnb.com/rooms/17571601,
False,False,True,True,False,False,False,True,True,True,False,True,True,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,False,True,False,False,True,True,False,False,16327671,"Уютная однокомнатная квартира в новом доме, Казань",1.0,Настоящая кровать,1.0,2.0,strict,Казань,,,"Предлагаю Вам остановиться в моей новой, уютной квартире на 15 этаже с потрясающим видом. Квартира находится в 10 минутах езды на автомобиле до центра города. Недалеко есть остановка общественного транспорта и станция метро. Аэропрот в 20 минутах езды на автомобиле. Рядом находится торгово-развлекательный центр с кинотеатром и фитнес-центр с бассейном, а также несколько спортивных объектов. Мое жилье подходит для: пары, соло-путешественники, деловые путешественники и семьи (с детьми).

Квартира в новом доме, все новое, есть все удобства. Хорошая транспортная развязка, 10 минут на автомобиле до ул.Баумана.
Данная однокомнатная квартира имеет отдельную кухню и гостиную, зонированную перегородкой, имеется двуспальная кровать и двухместный раскладной диван-кровать. Есть большой балкон.
Имеется кабельное телевидение, стиральная машина, фен, утюг, гладильная доска, сушилка для белья, электрическая плита с духовкой, холодильник двухкамерный, посуда, полотенца, постельное белье.

Район уникален тем, что находится в 10 минутах от центра на авто и в то же время граничит с лесопарковой зоной, где в любое время года можно насладиться различными видами спорта и пешими прогулками в экологически чистой зоне.
Недалеко от дома есть торгово-развлекательный центр с любимым гипермаркетом казанцев и гостей города магазином домашней еды - БАХЕТЛЕ.

Рядом находится остановка общественного транспорта, в 20 минутах - станция метро Проспект победы.

В Казани недорогое такси (в среднем 150р.), могу предоставить номер дисконтной карты для 20% скидки по городу. 
В подарок всем гостям карта города Казани.
По возможности, могу встретить с ж/д вокзала, аэропорта (за отдельную небольшую плату).",,,1,True,106866906,,False,True,,True,55.73761911478124,49.198736468397975,1125,1,0.9,RUB,,,"В Казани недорогое такси (в среднем 150р.), могу предоставить номер дисконтной карты для 20% скидки по городу. 
В подарок всем гостям карта города Казани.
По возможности, могу встретить с ж/д вокзала, аэропорта (за отдельную небольшую плату).",4,,19,0,884,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,4,Дом/квартира целиком,entire_home,"Квартира в новом доме, все новое, есть все удобства. Хорошая транспортная развязка, 10 минут на автомобиле до ул.Баумана.
Данная однокомнатная квартира имеет отдельную кухню и гостиную, зонированную перегородкой, имеется двуспальная кровать и двухместный раскладной диван-кровать. Есть большой балкон.
Имеется кабельное телевидение, стиральная машина, фен, утюг, гладильная доска, сушилка для белья, электрическая плита с духовкой, холодильник двухкамерный, посуда, полотенца, постельное белье.",,4.5,"Рядом находится остановка общественного транспорта, в 20 минутах - станция метро Проспект победы.",https://www.airbnb.com/rooms/16327671,0.95
False,False,True,False,False,False,False,True,True,True,False,False,True,False,False,True,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,True,True,False,True,7904925,УЮТНАЯ КВАРТИРА в КАЗАНИ! #казань,1.0,Диван-кровать,1.0,1.0,moderate,Казань,,,"Приглашаем пожить в чистую, светлую 1-комнатную квартиру в Кировском р-не Казани с великолепным видом на исторической центр. Квартира сдаётся людям без вп, исключительно для комфортного пребывания и жилья. Здесь хорошо. Вэлкам.",,,1,True,103847163,"Друзья, здравствуйте!

Здесь прилагаем стандартные рекомендации при посещении нашей квартиры:

*квартира сдаётся людям без вп, курение и употребление сп. напитков и прочее - просим исключить. квартира только для жилья, мытья, еды, приятного времяпрепровождения. в шутку мы называем её ""Храм Путника"". 

*это взаимодоверие, мы всерьез обещаем вам жильё и примем вас как друзей, а вы всерьез обещаете, что там будет чисто по всем параметрам, как будто вы приехали в гости к друзьям или родственникам. 

*залоговая сумма или документ на выбор, всё возвращается при выезде и обратной передаче ключей /это позиция условная и обсуждается при встрече/

*если вам понадобится какая-то помощь и содействие /контакты, интересные места, знакомства и т.д./ - пишите, чем сможем. 

если всё ок - по рукам и добро пожаловать.",False,True,,False,55.81445200124683,49.07135267179647,15,2,0.8,RUB,,,,2,,13,295,884,Квартира,False,10.0,10.0,10.0,10.0,9.0,10.0,40,Дом/квартира целиком,entire_home,,,5.0,,https://www.airbnb.com/rooms/7904925,0.9
