Air_conditioning,Breakfast,Buzzer_wireless_intercom,Cable_TV,Carbon_monoxide_detector,Doorman,Dryer,Elevator_in_building,Essentials,Family_kid_friendly,Fire_extinguisher,First_aid_kit,Free_parking_on_premises,Free_parking_on_street,Gym,Hair_dryer,Hangers,Heating,Hot_tub,Indoor_fireplace,Internet,Iron,Kitchen,Laptop_friendly_workspace,Lock_on_bedroom_door,Paid_parking_off_premises,Pets_allowed,Pool,Safety_card,Self_Check_In,Shampoo,Smoke_detector,Smoking_allowed,Suitable_for_events,TV,Washer,Wheelchair_accessible,Wireless_Internet,apart_id,apart_name,bathrooms,bed_type,bedrooms,beds,cancellation_policy,city,cleaning_fee_native,country,description,extra_price_native,extra_user_info,guests_included,has_agreed_to_legal_terms,host_id,house_rules,in_building,instant_bookable,interaction,is_location_exact,lat,lng,max_nights,min_nights,monthly_price_factor,native_currency,neighborhood,neighborhood_overview,notes,person_capacity,photo_url,picture_count,price_for_extra_person_native,price_native,property_type,require_guest_phone_verification,review_rating_accuracy,review_rating_checkin,review_rating_cleanliness,review_rating_communication,review_rating_location,review_rating_value,reviews_count,room_type,room_type_category,space,square_feet,star_rating,transit,url,weekly_price_factor
False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,15740153,"Обычная  квартира 20,5 кв.м для 2-3",1.0,Настоящая кровать,1.0,1.0,flexible,"Сочи, Краснодарский край, RU",,,Наша кв-ра в частном доме но находится в Центральном р-не г.Сочи до моря 850 м т.е 15-20 мин в пошаговой доступности от центрального пляжа ул.Тоннельная .Квартира сдается в любое время года.Цена договорная.,,,1,True,101713242,,False,True,,False,43.58621968420475,39.731168312968805,30,1,0.51,RUB,,,,1,,9,0,989,Квартира,False,4.0,10.0,10.0,10.0,10.0,10.0,1,Дом/квартира целиком,entire_home,,,,,https://www.airbnb.com/rooms/15740153,0.79
False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,10872374,сдам студию! ЦЕНА-КАЧЕСТВО НА 5 !!!,1.0,Настоящая кровать,1.0,2.0,strict,Sochi,,,". Кухня, плита , посуда, душ, телевизор, холодильник, фен, вообщем все необходимое для комфортного размещения. магазин напротив и тд)))

возможет трансфер на вокзал и аэропорт

Тихий и зелёный район, с видом на горы. До Курортного пр. Минут 15.

парковка на  улице, так же есть платная парковка- 100р сутки, автобус - 500 м ( 5-7 мин пешком) номер 44к;18;14.",,,1,,23524346,"гости с животными только по договоренности, бойцовские собаки запрещены. Не курить в номерах и доме, только на балконе или во дворе. Режим сна и тишины после 23:00, уважаем остальных соседей.",False,True,возможет трансфер на вокзал и аэропорт,True,43.58551011031011,39.75234002394244,5,1,,RUB,,,,2,,16,0,930,Квартира,False,10.0,10.0,10.0,10.0,9.0,10.0,13,Дом/квартира целиком,entire_home,,,5.0,"парковка на  улице, так же есть платная парковка- 100р сутки, автобус - 500 м ( 5-7 мин пешком) номер 44к;18;14.",https://www.airbnb.com/rooms/10872374,
False,False,False,True,True,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,True,True,False,False,True,True,False,True,3935985,Квартира-студия 6 в гостевом доме Vero,1.0,Настоящая кровать,1.0,2.0,moderate,Sochi,,,"Квартира-студия в частной мини-гостинице на 3 этаже с отдельным входом с удобствами, 25 кв.м, размещение 2  чел ., с/у душ совмещенный. Метал. дверь м/п окна.

Сдам квартиру-студию в частной мини-гостинице на 2 этаже с отдельным входом с удобствами, 25 кв.м, Соболевка, размещение 2  чел ., с/у душ совмещенный. Метал. дверь м/п окна. Во дворе мангал, закрытая территория, парковка. Быт. техника и электроника: холодильник, цветной телевизор, dvd, утюг с гладильной доской, вентилятор, посуда, закрытая территория, эфирное ТВ. Постельное белье и полотенца предоставляются. Инфраструктура супермаркеты. Магнит и Пятерочка, прод. магазин, магазины, аптека, парикмахерская. 
Остановка автобуса 44к - 500м (5 минут пешком), (PHONE NUMBER HIDDEN)м,австобус 14 - 600м, . 
Мебель Кухонный гарнитур, обеденный стол, табуреты, кровать 2шт, кресла, шкаф платяной широкий и узкий, журнальный столик. 

Дополнительно: питомцы оговариваются, курение разрешено. 

Цена 16000 руб. плюс коммунальные платежи 1000. Можно посуточно 750 руб. сутки
",,,1,,5344731,,False,True,,False,43.585782411863896,39.74968465802969,1125,1,1.0,RUB,,,,2,,12,0,1105,Гестхаус,False,10.0,10.0,10.0,10.0,8.0,10.0,15,Дом/квартира целиком,entire_home,"Сдам квартиру-студию в частной мини-гостинице на 2 этаже с отдельным входом с удобствами, 25 кв.м, Соболевка, размещение 2  чел ., с/у душ совмещенный. Метал. дверь м/п окна. Во дворе мангал, закрытая территория, парковка. Быт. техника и электроника: холодильник, цветной телевизор, dvd, утюг с гладильной доской, вентилятор, посуда, закрытая территория, эфирное ТВ. Постельное белье и полотенца предоставляются. Инфраструктура супермаркеты. Магнит и Пятерочка, прод. магазин, магазины, аптека, парикмахерская. 
Остановка автобуса 44к - 500м (5 минут пешком), (PHONE NUMBER HIDDEN)м,австобус 14 - 600м, . 
Мебель Кухонный гарнитур, обеденный стол, табуреты, кровать 2шт, кресла, шкаф платяной широкий и узкий, журнальный столик. 

Дополнительно: питомцы оговариваются, курение разрешено. 

Цена 16000 руб. плюс коммунальные платежи 1000. Можно посуточно 750 руб. сутки
",,5.0,,https://www.airbnb.com/rooms/3935985,1.0
False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,13366931,2-х комнатная квартира в центральном районе,1.0,Настоящая кровать,1.0,4.0,flexible,Sochi,,,"Вам понравится, ведь в моем жилье есть район, свет, кухня и пространство у дома. Мое жилье подходит для этого: пары, соло-путешественники, деловые путешественники и семьи (с детьми).Мое жилье не подходит для групп мужчин,желающих развлечься.",,,1,True,75879203,,False,True,,False,43.60032841829964,39.737332682349525,1125,3,1.0,RUB,,,,4,,5,0,989,Квартира,False,10.0,10.0,9.0,10.0,9.0,10.0,4,Дом/квартира целиком,entire_home,,,4.5,,https://www.airbnb.com/rooms/13366931,1.0
True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,11198605,студия 23кв.м на Светлане в Сочи,1.0,Настоящая кровать,1.0,1.0,strict,Сочи,1000.0,,"Студия 23кв.м в новом доме с новой мебелью, 6этаж, все удобства, красивый вид из окна. Кухня и газ в квартире. Ж./к РИО, Верх Светланы на Лысой горе. До дендрария , цирка, театра,  набережной и моря 15мин. пешком. Автобусная остановка 5мин. , магазин

Спокойный тихий район. Лифта в доме нет. Населенный район в основном молодые семьи с детьми.., во дворе спортивная и детская площадки. До вокзала жд. 15мин. На автобусе.

Утюг кондиционер,свч.печь. Газ.плита. местность немного гористая... подьем в гору небольшой присутствует, есть стоянка под авто. Детская и спортивная площадки. В основном жители молодые семьи с детьми.

Встречаю провожаю и по телефону. По мере необходимости .

Сочетание горного и морского воздуха. Спокойный тихий район.

Остановка транспорта автобуса .",,,2,,58162825,Не курить в квартире.,False,False,Встречаю провожаю и по телефону. По мере необходимости .,False,43.579696973167266,39.740282254769866,1125,1,,RUB,,,,3,,21,330,872,Квартира,False,8.0,9.0,7.0,9.0,6.0,8.0,4,Дом/квартира целиком,entire_home,"Спокойный тихий район. Лифта в доме нет. Населенный район в основном молодые семьи с детьми.., во дворе спортивная и детская площадки. До вокзала жд. 15мин. На автобусе.",,3.5,Остановка транспорта автобуса .,https://www.airbnb.com/rooms/11198605,
True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,6840422,Квартира-студия 18 кв.м.,1.0,Диван-кровать,1.0,2.0,flexible,Sochi,,,"Небольшая,но уютная квартира в частном доме.Мебель из дерева,кухонная зона,бытовая техника.Совмещённый санузел.До центральной улицы 5 мин.,до пляжа 10 мин.В шаговой доступности супермаркет,дендрарий,зимний театр и др.Возможен трансфер,с вокзала  бесплатно,с аэропорта 500 руб.",,,1,True,35842238,,False,False,,True,43.57767991000164,39.731563473178376,1125,1,1.0,RUB,,,,3,,6,0,989,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,27,Дом/квартира целиком,entire_home,,,5.0,,https://www.airbnb.com/rooms/6840422,1.0
False,False,True,True,True,True,False,True,True,True,False,True,True,False,False,True,True,True,False,False,True,True,True,True,True,False,False,False,False,False,True,True,False,False,True,True,True,True,14767764,"апартаменты ""Остров мечты""",1.0,Настоящая кровать,1.0,2.0,flexible,Sochi,,,"Рядом с моим жильем общественный транспорт, пляж, семейные развлечения и ночная жизнь. Вам понравится, ведь в моем жилье есть Комфорт, уют.. Мое жилье подходит для этого: пары, соло-путешественники, деловые путешественники и семьи (с детьми).",,,1,True,92117026,,False,True,,False,43.590790756730826,39.73258815831473,1125,1,0.8,RUB,,,,2,,18,0,989,Квартира,False,10.0,10.0,10.0,10.0,9.0,10.0,7,Дом/квартира целиком,entire_home,,,5.0,,https://www.airbnb.com/rooms/14767764,1.0
True,False,False,False,False,False,False,False,True,True,False,True,False,False,False,True,True,True,False,False,True,True,False,True,False,False,False,False,False,False,True,False,True,False,True,False,False,True,17564160,Новая квартира-студия 20 кв.м в спокойном районе,1.0,Настоящая кровать,1.0,1.0,flexible,Bolshoy Sochi,,,"Удачное сочетание удаленности от шумных районов рядом с морем и возможности быстро (за 15 минут) добраться до самого центра - общественный транспорт остановится по просьбе прямо у дома! Небольшая уютная комната-студия выглядит практически как номер в хорошем отеле, со свежим и лаконичный ремонтом в эко-стиле. Жилье идеально подходит для одиноких путешественников, командировок, семейных пар.",,,1,True,53579385,,False,True,,True,43.62332653444063,39.702253479533866,20,1,0.8,RUB,,,,2,,8,0,872,Квартира,False,,,,,,,0,Дом/квартира целиком,entire_home,,,,,https://www.airbnb.com/rooms/17564160,0.9
False,False,False,False,True,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,True,True,False,False,True,False,False,True,True,True,False,False,True,True,False,True,976803,Студия 5 в Гостевом доме на Пятигорской Vero,1.0,Настоящая кровать,1.0,2.0,flexible,Sochi,,,"Сдам квартиру-студию в частной мини-гостинице на 1 этаже с отдельным входом с удобствами, 22 кв.м, размещение 2 чел ., с/у душ совмещенный. Метал. дверь м/п окна. Во дворе мангал, закрытая территория. Быт. техника и электроника: холодильник, цветной ",,,2,True,5344731,,False,True,,True,43.5857202809201,39.74887172764282,365,1,1.0,RUB,,,,2,,8,0,1221,Гестхаус,False,10.0,10.0,10.0,10.0,9.0,10.0,10,Дом/квартира целиком,entire_home,"Сдам квартиру-студию в частной мини-гостинице на 1 этаже с отдельным входом с удобствами, 25 кв.м, размещение 2 чел ., с/у душ совмещенный. Метал. дверь м/п окна. Во дворе мангал, закрытая территория. Быт. техника и электроника: холодильник, цветной телевизор, утюг, гладильная доска, посуда, эфирное ТВ. Постельное белье и полотенца предоставляются. Инфраструктура супермаркеты. Магнит и Пятерочка, прод. магазин, магазины, аптека, парикмахерская. 

Остановка автобуса 44к - 500м (5 минут пешком), (PHONE NUMBER HIDDEN)м,австобус 14 - 600м, . 

Мебель Кухонный гарнитур, обеденный стол, табуреты, кровать 2шт, шкаф платяной широкий и узкий , журнальный столик кресло. 


",,5.0,,https://www.airbnb.com/rooms/976803,1.0
True,False,False,False,False,False,False,False,True,True,False,False,False,False,False,True,True,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,True,15615726,Сдается двухкомнатная квартира в гостевом доме.,1.0,Настоящая кровать,2.0,3.0,flexible,Sochi,,,"Рядом с моим жильем  располагается парк ""Дендрарий"", ""Зимний"" и ""Летний"" театры. Гостиница ""Жемчужина и центральная морская набережная.. Вам понравится, так как окна выходят на тихий зеленый двор с субтропическими растениями.. Мое жилье подходит для: пары и семьи (с детьми).",,,2,True,67079904,,False,False,,True,43.57541925923192,39.734726101596664,1125,3,0.6,RUB,,,,4,,7,0,989,Квартира,False,10.0,10.0,10.0,10.0,10.0,10.0,1,Дом/квартира целиком,entire_home,,,,,https://www.airbnb.com/rooms/15615726,
