Air_conditioning,Breakfast,Buzzer_wireless_intercom,Cable_TV,Carbon_monoxide_detector,Doorman,Dryer,Elevator_in_building,Essentials,Family_kid_friendly,Fire_extinguisher,First_aid_kit,Free_parking_on_premises,Free_parking_on_street,Gym,Hair_dryer,Hangers,Heating,Hot_tub,Indoor_fireplace,Internet,Iron,Kitchen,Laptop_friendly_workspace,Lock_on_bedroom_door,Paid_parking_off_premises,Pets_allowed,Pool,Safety_card,Self_Check_In,Shampoo,Smoke_detector,Smoking_allowed,Suitable_for_events,TV,Washer,Wheelchair_accessible,Wireless_Internet,apart_id,apart_name,bathrooms,bed_type,bedrooms,beds,cancellation_policy,city,cleaning_fee_native,country,description,extra_price_native,extra_user_info,guests_included,has_agreed_to_legal_terms,host_id,house_rules,in_building,instant_bookable,interaction,is_location_exact,lat,lng,max_nights,min_nights,monthly_price_factor,native_currency,neighborhood,neighborhood_overview,notes,person_capacity,photo_url,picture_count,price_for_extra_person_native,price_native,property_type,require_guest_phone_verification,review_rating_accuracy,review_rating_checkin,review_rating_cleanliness,review_rating_communication,review_rating_location,review_rating_value,reviews_count,room_type,room_type_category,space,square_feet,star_rating,transit,url,weekly_price_factor
False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,2376415,Fabrika Hostel&Gallery,3.5,Настоящая кровать,1,16.0,moderate,Nizhny Novgorod,,,"Самый яркий хостел Нижнего Новгорода готов приютить 40 человек)))

Самый вкусный кофе, снэк-бар, настольные игры и непередаваемая атмосфера.

Самая злачная улица города",,,1,,12141299,"Заезд с 14:00, выезд до 12:00",False,True,Сколько душе угодно!,True,56.32708615491862,43.988794016989075,1125,1,1.0,RUB,,,,16,,19,0,395,Дом,False,9.0,7.0,7.0,8.0,8.0,9.0,7,Общая комната,shared_room,Самый яркий хостел Нижнего Новгорода готов приютить 40 человек))),,4.0,,https://www.airbnb.com/rooms/2376415,1.0
False,True,True,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,True,False,True,False,True,2376415,Fabrika Hostel&Gallery,3.5,Настоящая кровать,1,16.0,moderate,Nizhny Novgorod,,,"Самый яркий хостел Нижнего Новгорода готов приютить 40 человек)))

Самый вкусный кофе, снэк-бар, настольные игры и непередаваемая атмосфера.

Самая злачная улица города",,,1,,12141299,"Заезд с 14:00, выезд до 12:00",False,True,Сколько душе угодно!,True,56.32708615491862,43.988794016989075,1125,1,1.0,RUB,,,,16,,19,0,395,Дом,False,9.0,7.0,7.0,8.0,8.0,9.0,7,Общая комната,shared_room,Самый яркий хостел Нижнего Новгорода готов приютить 40 человек))),,4.0,,https://www.airbnb.com/rooms/2376415,1.0
False,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,5255674,Smile hostel. Специальная цена 390р,5.0,Настоящая кровать,1,16.0,flexible,Nizhniy Novgorod,,,"В 150 метрах от Нижегородского кремля, на пешеходной улице Большая Покровская расположен наш Smile hostel=) Уютная, домашняя атмосфера, эксклюзивный дизайн интерьера, приветливый персонал, комфортабельные номера с очень удобными спальными местами =)

В этом объявлении вы можете забронировать от 1 до 16 мест в двух 8-ми местных номерах ""NY"" и ""London"" 

Стоимость:
сутки 390 р. (будни)
сутки 490 р. (пятница, суббота)
неделя 2650 р.
месяц 9900 р.
Возможны скидки! Пишите!=)

Наш хостел рассчитан на 37 человек (+3 доп места). Расположен на пешеходной улице Большая Покровская, в 150 метрах от Нижегородского Кремля. Мы очень старались сделать наш хостел таким уютным, чтобы Вы чувствовали себя КАК ДОМА! =)

В нашем хостеле есть:
- оборудованная кухня 
- стиральная машинка с функцией сушки 
- фен/утюг 
- Wi-Fi на всей территории хостела
- стационарные компьютеры с выходом в интернет
- большой ЖК-телевизор
- DVD blue-ray
- игровая приставка Sony Playstation 4

У нас в хостеле запрещено:
- алкоголь и нахождение в пьяном состоянии
- шуметь после 22:00

В хостеле все ходят в тапочках (можно купить у нас за 30р).

В нашем хостеле есть:
- оборудованная кухня 
- стиральная машинка с функцией сушки 
- фен/утюг 
- Wi-Fi на всей территории хостела
- стационарные компьютеры с выходом в интернет
- большой ЖК-телевизор
- DVD blue-ray
- игровая приставка Sony Playstation 4

У нас в хостеле запрещено:
- алкоголь и нахождение в пьяном состоянии
- шуметь после 22:00

В хостеле все ходят в тапочках (можно купить у нас за 30р).
",,,1,True,4875882,,False,False,,True,56.323866143746386,44.004806233957325,1125,1,0.98,RUB,,,,16,,27,0,508,Дом,False,10.0,10.0,9.0,10.0,10.0,10.0,3,Общая комната,shared_room,"В этом объявлении вы можете забронировать от 1 до 16 мест в двух 8-ми местных номерах ""NY"" и ""London"" 

Стоимость:
сутки 390 р. (будни)
сутки 490 р. (пятница, суббота)
неделя 2650 р.
месяц 9900 р.
Возможны скидки! Пишите!=)

Наш хостел рассчитан на 37 человек (+3 доп места). Расположен на пешеходной улице Большая Покровская, в 150 метрах от Нижегородского Кремля. Мы очень старались сделать наш хостел таким уютным, чтобы Вы чувствовали себя КАК ДОМА! =)

В нашем хостеле есть:
- оборудованная кухня 
- стиральная машинка с функцией сушки 
- фен/утюг 
- Wi-Fi на всей территории хостела
- стационарные компьютеры с выходом в интернет
- большой ЖК-телевизор
- DVD blue-ray
- игровая приставка Sony Playstation 4

У нас в хостеле запрещено:
- алкоголь и нахождение в пьяном состоянии
- шуметь после 22:00

В хостеле все ходят в тапочках (можно купить у нас за 30р).",,5.0,,https://www.airbnb.com/rooms/5255674,1.0
False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,2282804,Недорогое проживание в самом центре,2.0,Настоящая кровать,1,7.0,flexible,Nizhny Novgorod,,,"Предлагаем Вам остановиться в самом центре города, на главной пешеходной улице, по низкой цене! Хочешь жить в 50 м от Кремля - тогда тебе к нам! У нас уютно, весело и ярко!

В распоряжении гостей будет кухня,бесплатный Wi-Fi, утюг, фен и стиральная машина.

Сколько Вашей душе угодно :)",,,1,,11659140,,False,False,Сколько Вашей душе угодно :),True,56.32485400830245,44.004763642754625,1125,1,1.0,RUB,,,,14,,1,450,452,Общежитие,False,,,,,,,0,Общая комната,shared_room,,474.0,,,https://www.airbnb.com/rooms/2282804,0.89
False,False,False,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,True,False,False,True,False,False,False,True,False,True,16486883,Проживание в 4-х местном номере в центре,0.0,Настоящая кровать,1,4.0,flexible,Nizhnij Novgorod,,,"Номера оборудованы новыми удобными двухъярусными кроватями с отличными ортопедическими матрасами, на которых можно прекрасно отдохнуть.Номер хорошо подойдет как одиночному туристу так и большой дружной компании. Здесь вы можете познакомиться с тремя интересными личностями.",,,1,True,108163019,,False,True,,False,56.32200129097761,44.00485460824281,1125,2,0.85,RUB,,,,4,,3,0,621,Хостел,False,,,,,,,0,Отдельная комната,private_room,,,,,https://www.airbnb.com/rooms/16486883,0.9
False,True,True,False,True,True,True,False,True,False,True,True,True,False,False,True,True,True,False,False,False,True,True,True,False,False,False,False,True,False,True,True,False,False,True,True,False,True,8491550,Новый Yes!hostel в центре города,1.0,Настоящая кровать,6,16.0,flexible,Nizhnij Novgorod,,,"Новый дизайнерский хостел в самом центре Нижнего Новгорода, который вмещает до 40 человек :)

Первый хостел, оформленный в стиле русских народных промыслов, в современном оформлении 
цены от 350 рублей до 1290 рублей
при заезде компанией от 10 человек, предоставляются скидки

Вы можете пользоваться общей комнатой(телевизором, PS4, компьютером, книгами) , общей кухней (всем что есть на кухне) , общим туалетом/ванной (всем что есть).

Мы ответим на все интересующие вас вопросы и поможем, если у вас во время путешествия возникнут какие-то проблемы.

Район, в котором расположен наш хостел-центральный район города, вы без труда доберетесь до центра города за 10 минут пешком. В районе имеются торговые центры, магазины, кафе/рестораны, парки и музеи.

Прекрасная транспортная развязка в любую часть города. Мы без проблем подскажем вам как добраться до нужного вам места (можем предоставить бесплатно карту города), так же вызовем вам такси по доступным ценам. Если же вы приехали на автомобиле у нас есть своя бесплатная парковка.
Ближайшие остановки: пл.Лядова, ост. Средной рынок.",,,1,True,44721510,"у нас:
-не курят, имеется зона для курения на улице
-самообслуживание 
-просим сдать место в таком же состоянии, как мы вам его предоставили
(с более подробными правилами можете ознакомиться на нашем официальном сайте (website hidden) или в группе (website hidden)е (website hidden))",False,False,"Мы ответим на все интересующие вас вопросы и поможем, если у вас во время путешествия возникнут какие-то проблемы.",False,56.30683957484918,43.98850907992912,1125,1,1.0,RUB,,,,16,,31,0,621,Дом,False,10.0,10.0,10.0,10.0,10.0,10.0,1,Дом/квартира целиком,entire_home,"Первый хостел, оформленный в стиле русских народных промыслов, в современном оформлении 
цены от 350 рублей до 1290 рублей
при заезде компанией от 10 человек, предоставляются скидки",,,"Прекрасная транспортная развязка в любую часть города. Мы без проблем подскажем вам как добраться до нужного вам места (можем предоставить бесплатно карту города), так же вызовем вам такси по доступным ценам. Если же вы приехали на автомобиле у нас есть своя бесплатная парковка.
Ближайшие остановки: пл.Лядова, ост. Средной рынок.",https://www.airbnb.com/rooms/8491550,1.0
True,True,False,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,True,False,True,15418059,Эль-Пасо,0.0,Настоящая кровать,1,8.0,flexible,Nizhnij Novgorod,,,"Рядом с моим жильем общественный транспорт, центр города и искусство и культура. Мое жилье подходит для этого: пары, соло-путешественники, деловые путешественники, семьи (с детьми) и большие группы.",,,1,True,47010919,,False,True,,True,56.29789762822483,44.05607022325072,1125,1,0.9,RUB,,,,8,,3,0,621,Квартира,False,,,,,,,0,Отдельная комната,private_room,,,,,https://www.airbnb.com/rooms/15418059,0.9
False,False,False,False,False,False,False,False,True,True,True,True,True,False,False,False,True,True,False,False,True,False,True,True,False,False,True,False,True,False,True,True,False,True,True,True,False,True,2859793,Бугров хостел,4.0,Настоящая кровать,1,16.0,flexible,Nizhny Novgorod,,,"«Бугров Хостел» — это новый современный хостел в Нижнем Новгороде, это ближайший отель к центральному железнодорожному вокзалу, мы находимся всего в 200 метрах от ж/д вокзала и от станции метро Московская (до центра Нижнего 5 минут, 1 остановка. ст.)

Наш хостел находится на пересечении основных транспортных потоков Нижнего Новгорода (ж/д и авто вокзалы, метро, автобусные маршруты, трамваи, троллейбусы). Вы сможете легко и быстро добраться до любой точки города без пересадок.

Бугров хостел предлагает самые доступные цены в Нижнем Новгороде — от 450 рублей за место (за одно место в 6-местном номере). В зависимости от Вашего желания, Вы можете выбрать проживание в комнатах: с 1-местным 1200 рублей за номер), 2-х (1500 руб. за номер), 3-х (1950руб. за номер или 650 рублей за место), 4-х (550 рублей за место) и 6-ти местным размещением.


Уютная домашняя атмосфера нашего хостела приятно порадует Вас. У нас всегда чисто, безопасно и комфортно.

К Вашим услугам оборудованная кухня-столовая (чай и кофе предоставляются бесплатно), а также холл с ТВ и удобными диванами для общения с друзьями и просмотра любимых фильмов. Свой багаж Вы сможете сдать в специальную комнату для хранения багажа, а ценные вещи — в сейф. Для жильцов нашего хостела предоставляется бесплатный Wi-Fi.
Свой автомобиль Вы всегда можете оставить на платной охраняемой парковке во дворе здания хостела.

Внимание! На ресурсе выставлена цена за 1(одно) место в 6-местном номере  Другие виды размещения (1-местное, 2-местное, 3-местное и 4-местное) на Airbnb мы предлагаем индивидуально по вашему запросу. 

Теперь Вам не нужно заказывать такси от вокзала до гостиницы, до нас можно просто дойти пешком. Также, вам будет очень удобно уезжать из Нижнего Новгорода — вы можете выйти из Бугров Хостела за 10 минут до отправления поезда и спокойно на него успеть.


От железнодорожного вокзала - 5 минут пешком.
От аэропорта - 25 минут на такси.


Наш персонал готов вам помочь круглосуточно.
",,,1,True,14621052,"Запрещено: курение и распитие крепких алкогольных напитков.
Также мы просим соблюдать тишину после 23:00 и до 7:00.",False,False,"Внимание! На ресурсе выставлена цена за 1(одно) место в 6-местном номере  Другие виды размещения (1-местное, 2-местное, 3-местное и 4-местное) на Airbnb мы предлагаем индивидуально по вашему запросу. ",True,56.32433209487192,43.95157850088301,1125,1,0.67,RUB,,,"Наш персонал готов вам помочь круглосуточно.
",16,,14,297,621,Общежитие,False,10.0,9.0,9.0,9.0,9.0,9.0,14,Общая комната,shared_room,"Наш хостел находится на пересечении основных транспортных потоков Нижнего Новгорода (ж/д и авто вокзалы, метро, автобусные маршруты, трамваи, троллейбусы). Вы сможете легко и быстро добраться до любой точки города без пересадок.

Бугров хостел предлагает самые доступные цены в Нижнем Новгороде — от 450 рублей за место (за одно место в 6-местном номере). В зависимости от Вашего желания, Вы можете выбрать проживание в комнатах: с 1-местным 1200 рублей за номер), 2-х (1500 руб. за номер), 3-х (1950руб. за номер или 650 рублей за место), 4-х (550 рублей за место) и 6-ти местным размещением.
",,4.0,"От железнодорожного вокзала - 5 минут пешком.
От аэропорта - 25 минут на такси.
",https://www.airbnb.com/rooms/2859793,0.85
False,False,False,False,True,False,True,False,True,True,True,True,True,False,False,True,True,True,False,False,False,True,True,False,True,False,False,False,True,False,False,True,False,False,False,True,False,True,16486569,Проживание в 6-местном номере хостела в центре,0.0,Настоящая кровать,1,6.0,flexible,Nizhnij Novgorod,,,"Номера оборудованы новыми удобными двухъярусными кроватями с отличными ортопедическими матрасами, на которых можно прекрасно отдохнуть.Номер хорошо подойдет как одиночному туристу так и большой дружной компании. Здесь у вас есть шанс найти пять новых друзей.",,,1,True,108163019,,False,True,,True,56.32345652408519,44.005016886063224,1125,1,0.8,RUB,,,,6,,2,0,565,Хостел,False,,,,,,,0,Отдельная комната,private_room,,,,,https://www.airbnb.com/rooms/16486569,0.85
False,False,False,True,False,True,True,False,True,True,True,True,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,True,True,False,True,True,True,False,True,5255674,Smile hostel. Специальная цена 390р,5.0,Настоящая кровать,1,16.0,flexible,Nizhniy Novgorod,,,"В 150 метрах от Нижегородского кремля, на пешеходной улице Большая Покровская расположен наш Smile hostel=) Уютная, домашняя атмосфера, эксклюзивный дизайн интерьера, приветливый персонал, комфортабельные номера с очень удобными спальными местами =)

В этом объявлении вы можете забронировать от 1 до 16 мест в двух 8-ми местных номерах ""NY"" и ""London"" 

Стоимость:
сутки 390 р. (будни)
сутки 490 р. (пятница, суббота)
неделя 2650 р.
месяц 9900 р.
Возможны скидки! Пишите!=)

Наш хостел рассчитан на 37 человек (+3 доп места). Расположен на пешеходной улице Большая Покровская, в 150 метрах от Нижегородского Кремля. Мы очень старались сделать наш хостел таким уютным, чтобы Вы чувствовали себя КАК ДОМА! =)

В нашем хостеле есть:
- оборудованная кухня 
- стиральная машинка с функцией сушки 
- фен/утюг 
- Wi-Fi на всей территории хостела
- стационарные компьютеры с выходом в интернет
- большой ЖК-телевизор
- DVD blue-ray
- игровая приставка Sony Playstation 4

У нас в хостеле запрещено:
- алкоголь и нахождение в пьяном состоянии
- шуметь после 22:00

В хостеле все ходят в тапочках (можно купить у нас за 30р).

В нашем хостеле есть:
- оборудованная кухня 
- стиральная машинка с функцией сушки 
- фен/утюг 
- Wi-Fi на всей территории хостела
- стационарные компьютеры с выходом в интернет
- большой ЖК-телевизор
- DVD blue-ray
- игровая приставка Sony Playstation 4

У нас в хостеле запрещено:
- алкоголь и нахождение в пьяном состоянии
- шуметь после 22:00

В хостеле все ходят в тапочках (можно купить у нас за 30р).
",,,1,True,4875882,,False,False,,True,56.323866143746386,44.004806233957325,1125,1,0.98,RUB,,,,16,,27,0,508,Дом,False,10.0,10.0,9.0,10.0,10.0,10.0,3,Общая комната,shared_room,"В этом объявлении вы можете забронировать от 1 до 16 мест в двух 8-ми местных номерах ""NY"" и ""London"" 

Стоимость:
сутки 390 р. (будни)
сутки 490 р. (пятница, суббота)
неделя 2650 р.
месяц 9900 р.
Возможны скидки! Пишите!=)

Наш хостел рассчитан на 37 человек (+3 доп места). Расположен на пешеходной улице Большая Покровская, в 150 метрах от Нижегородского Кремля. Мы очень старались сделать наш хостел таким уютным, чтобы Вы чувствовали себя КАК ДОМА! =)

В нашем хостеле есть:
- оборудованная кухня 
- стиральная машинка с функцией сушки 
- фен/утюг 
- Wi-Fi на всей территории хостела
- стационарные компьютеры с выходом в интернет
- большой ЖК-телевизор
- DVD blue-ray
- игровая приставка Sony Playstation 4

У нас в хостеле запрещено:
- алкоголь и нахождение в пьяном состоянии
- шуметь после 22:00

В хостеле все ходят в тапочках (можно купить у нас за 30р).",,5.0,,https://www.airbnb.com/rooms/5255674,1.0
