apart_id,author_id,date,review
10775411,97410334,2016-10-03T04:24:58Z,Все отлично 
10775411,73772155,2016-08-26T07:02:44Z,Все было отлично. У меня нареканий нет. Спасибо хозяину
10775411,50744593,2016-08-25T01:46:03Z,все ок)
10775411,17998252,2016-08-11T05:41:06Z,"Хозяйка Алена очень приятная в общении, всегда идет навстречу! Есть все необходимое для жизни. Чисто, тепло, комфортно! :) Большое спасибо!"
10775411,88862633,2016-08-11T04:59:19Z,Всё было на должном уровне.
10775411,10146764,2016-08-09T05:54:34Z,Was great experience. Alena is a wonderful host
2550400,95072341,2016-11-24T06:54:58Z,"Очень гостеприимный хозяин, район неплохой очень удобно, спасибо огромное!"
2550400,49718406,2016-11-21T08:38:23Z,"Отличный уютный хостел, всё чисто и аккуратно"
2550400,102489219,2016-11-05T06:47:45Z,Поселился без проблем. Все было отлично. Советую.
2550400,58664717,2016-09-26T08:41:00Z,11
2550400,26943088,2016-09-07T07:52:45Z,"Отличное место для остановки: приятный и отзывчивый персонал, чисто, аккуратно, удачное расположение.
"
2550400,59532508,2016-09-03T02:52:03Z,Теплый прием
2550400,52382970,2016-08-22T00:23:28Z,"Разместили глубокой ночью - спасибо огромное, все было замечательно !"
2550400,11387832,2016-08-19T10:06:14Z,Чисто и уютно. Рекомендую.
2550400,43043445,2016-08-19T07:32:15Z,Спасибо! Все понравилось.
2550400,87903141,2016-08-14T08:44:42Z,"Все было, как в описании. Чисто, аккуратно, уютно. Очень удачное расположение."
2550400,22388551,2016-08-10T06:25:34Z,"Все замечательно, спасибо! Очень доволен, что выбрал именно этот Хостел. "
2550400,13816409,2016-06-19T09:22:24Z,"Отличное место, чисто и комфортно. Приветливый персонал, готовый прийти на помощь. Ещё и расположение прекрасное, совсем рядом с набережной реки и пляжем, так что если нет желания смотреть сам город, то вполне можно потратить 3 минуты и оказаться у реки."
2550400,22911077,2015-11-08T16:21:44Z,"Everything was fine, the hostel was clean and cozy and the (single user) bathroom was giant. I only have a few little complaints - I wish there had been a working outlet by the top bunk, and better temperature control. The room was blazing hot and it was kind of hard to sleep. Also the hostel is hard to find from the street, since you have to open an unmarked gate. A sign would be super helpful. Other than that, the staff were all really nice and helpful. We had a nice stay!"
2550400,1632991,2014-11-19T12:30:18Z,"Accoglienza  gentile e disponibile alle esigenze del cliente dalla ragazza che mi ha ricevuto. 
L'affittacamere è sito in un ambiente esterno piuttosto degradato, seppur vicino al fiume Volga. Non era quello che cercavo!
Dopo un solo giorno di permanenza, ho lasciato la camera con il solo letto matrimoniale non solo per mancanza di privacy, ma anche perché sprovvista di armadio, bagno e quant'altro fa di una camera da affittare in quanto molto piccola; con solo 100 rubli in più, al giorno, ho prenotato una bella camera con bagno e un'ottima prima colazione in hotel.
Questo è sicuramente un buon ostello per ragazzi che sono abituati a condividere tutto e di più."
10775411,97410334,2016-10-03T04:24:58Z,Все отлично 
10775411,73772155,2016-08-26T07:02:44Z,Все было отлично. У меня нареканий нет. Спасибо хозяину
10775411,50744593,2016-08-25T01:46:03Z,все ок)
10775411,17998252,2016-08-11T05:41:06Z,"Хозяйка Алена очень приятная в общении, всегда идет навстречу! Есть все необходимое для жизни. Чисто, тепло, комфортно! :) Большое спасибо!"
10775411,88862633,2016-08-11T04:59:19Z,Всё было на должном уровне.
10775411,10146764,2016-08-09T05:54:34Z,Was great experience. Alena is a wonderful host
2550400,95072341,2016-11-24T06:54:58Z,"Очень гостеприимный хозяин, район неплохой очень удобно, спасибо огромное!"
2550400,49718406,2016-11-21T08:38:23Z,"Отличный уютный хостел, всё чисто и аккуратно"
2550400,102489219,2016-11-05T06:47:45Z,Поселился без проблем. Все было отлично. Советую.
2550400,58664717,2016-09-26T08:41:00Z,11
2550400,26943088,2016-09-07T07:52:45Z,"Отличное место для остановки: приятный и отзывчивый персонал, чисто, аккуратно, удачное расположение.
"
2550400,59532508,2016-09-03T02:52:03Z,Теплый прием
2550400,52382970,2016-08-22T00:23:28Z,"Разместили глубокой ночью - спасибо огромное, все было замечательно !"
2550400,11387832,2016-08-19T10:06:14Z,Чисто и уютно. Рекомендую.
2550400,43043445,2016-08-19T07:32:15Z,Спасибо! Все понравилось.
2550400,87903141,2016-08-14T08:44:42Z,"Все было, как в описании. Чисто, аккуратно, уютно. Очень удачное расположение."
2550400,22388551,2016-08-10T06:25:34Z,"Все замечательно, спасибо! Очень доволен, что выбрал именно этот Хостел. "
2550400,13816409,2016-06-19T09:22:24Z,"Отличное место, чисто и комфортно. Приветливый персонал, готовый прийти на помощь. Ещё и расположение прекрасное, совсем рядом с набережной реки и пляжем, так что если нет желания смотреть сам город, то вполне можно потратить 3 минуты и оказаться у реки."
2550400,22911077,2015-11-08T16:21:44Z,"Everything was fine, the hostel was clean and cozy and the (single user) bathroom was giant. I only have a few little complaints - I wish there had been a working outlet by the top bunk, and better temperature control. The room was blazing hot and it was kind of hard to sleep. Also the hostel is hard to find from the street, since you have to open an unmarked gate. A sign would be super helpful. Other than that, the staff were all really nice and helpful. We had a nice stay!"
