Air_conditioning,Breakfast,Buzzer_wireless_intercom,Cable_TV,Carbon_monoxide_detector,Doorman,Dryer,Elevator_in_building,Essentials,Family_kid_friendly,Fire_extinguisher,First_aid_kit,Free_parking_on_premises,Free_parking_on_street,Gym,Hair_dryer,Hangers,Heating,Hot_tub,Indoor_fireplace,Internet,Iron,Kitchen,Laptop_friendly_workspace,Lock_on_bedroom_door,Paid_parking_off_premises,Pets_allowed,Pool,Safety_card,Self_Check_In,Shampoo,Smoke_detector,Smoking_allowed,Suitable_for_events,TV,Washer,Wheelchair_accessible,Wireless_Internet,apart_id,apart_name,bathrooms,bed_type,bedrooms,beds,cancellation_policy,city,cleaning_fee_native,country,description,extra_price_native,extra_user_info,guests_included,has_agreed_to_legal_terms,host_id,house_rules,in_building,instant_bookable,interaction,is_location_exact,lat,lng,max_nights,min_nights,monthly_price_factor,native_currency,neighborhood,neighborhood_overview,notes,person_capacity,photo_url,picture_count,price_for_extra_person_native,price_native,property_type,require_guest_phone_verification,review_rating_accuracy,review_rating_checkin,review_rating_cleanliness,review_rating_communication,review_rating_location,review_rating_value,reviews_count,room_type,room_type_category,space,square_feet,star_rating,transit,url,weekly_price_factor
False,False,False,False,False,False,False,True,True,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False,True,15116339,Переночевать супер,1.0,Настоящая кровать,1,1,flexible,Волгоград,,,Общежитие...все условия и техника...,,,1,True,95788355,,False,True,,False,48.76914687204696,44.47983739638524,1125,1,,RUB,,,,2,,1,0,563,Гестхаус,False,,,,,,,0,Дом/квартира целиком,entire_home,,,,,https://www.airbnb.com/rooms/15116339,
True,False,False,False,True,False,True,True,True,True,False,True,True,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,True,False,True,True,False,False,True,True,False,True,17415055,Комфортный хостел в центре города,1.0,Настоящая кровать,3,16,flexible,Volgograd,,,"Рядом с моим жильем общественный транспорт, ночная жизнь, центр города и парки. Вам понравится, ведь в моем жилье есть свет, удобная кровать, кухня, высокие потолки и уют. Мое жилье подходит для этого: пары, соло-путешественники, деловые путешественники и семьи (с детьми).",,,1,True,117491468,,False,True,,True,48.72647872353947,44.519062065854115,1125,1,0.85,RUB,,,,16,,19,0,563,Хостел,False,,,,,,,0,Дом/квартира целиком,entire_home,,,,,https://www.airbnb.com/rooms/17415055,0.85
False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,8042508,отдельная комната в 3-х комнатной квартире,1.0,Настоящая кровать,1,2,flexible,Волгоград,,,"Очень удобное расположение, хорошая транспортная доступность во все районы города, отчетные документы

Имеется полностью оборудованная кухня

Наша квартира находиться недалеко от Мамаева Кургана

Рядом находиться общественный транспорт, легко добраться во все районы города",,,1,True,32354796,У нас курение на территории квартиры запрещено.,False,True,,True,48.77537315883992,44.55565780762766,1125,1,1.0,RUB,,,,3,,6,0,619,Квартира,False,,,,,,,0,Отдельная комната,private_room,,,,"Рядом находиться общественный транспорт, легко добраться во все районы города",https://www.airbnb.com/rooms/8042508,0.89
True,False,False,True,True,True,True,False,True,False,True,True,True,False,False,True,True,True,False,False,True,True,True,True,True,False,True,False,True,True,False,True,False,False,True,True,False,True,16524405,проживание на длительный срок или по суточный.,5.5,Настоящая кровать,1,1,flexible,,,,"Рядом с моим жильем отличные виды, рестораны и кафе, пляж и семейные развлечения. Вам понравится, ведь в моем жилье есть расположение, атмосферность, люди, виды и высокие потолки. Мое жилье подходит для этого: пары, соло-путешественники, деловые путешественники, семьи (с детьми), большие группы и мохнатые друзья (животные).

вы сможете остановится как один ,так и со своей семьей или с большой компанией.
комнат очень много.",,,1,True,108665974,,False,True,,False,48.74755541879025,44.54390722935303,31,1,0.51,RUB,,,,8,,13,0,619,Хостел,False,10.0,10.0,10.0,10.0,10.0,10.0,1,Общая комната,shared_room,"вы сможете остановится как один ,так и со своей семьей или с большой компанией.
комнат очень много.",,,,https://www.airbnb.com/rooms/16524405,0.79
True,True,False,False,False,False,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,16752548,Хостел Центр,4.5,Настоящая кровать,7,16,flexible,Volgograd,,,"Каждый путешественник знает, что знакомство с городом начинается с самого его сердца - нулевого километра, место положение Hostel Centre в этом активно способствует, так как находится в 250 метрах от данной достопримечательности города Волгограда, а так же его главной аллее, ведущей к центральной набережной, где проходят все масштабные мероприятия, и в шаговой доступности от вокзала.

«Hostel Centre» - это чистота, гостеприимство, уют и безопасность.
Наши апартаменты расположены в отдельно стоящем здании с площадью в 240 кв.м. и отдельной закрытой парковкой.

Для гостей  7 комнат, 5 четырех местных и 2 типа люкс со всеми необходимыми удобствами. В каждой комнате для поддержания комфортной температуры имеются сплит-системы. Так же в хостеле имеется современно оборудованная кухня, просторный санузел с шестью кабинами (3 туалетных комнат и 3 душевых), большим зеркалом и тремя умывальниками. Сердцем хостела является комната для отдыха Наших гостей, отделанная натуральным деревом и живыми растениями с большим и удобным 8 метровым диваном, где гости могут с комфортом посмотреть телевизор, поиграть в настольные игры или игровую приставку xbox360, а так же прочитать журнал или книгу.

Мы готовы организовать для Вас:
экскурсии по городу герою Волгограду,
посещение спектаклей в театры (муз комедию, НЭТ, молодежный театр, теат юного зрителя).

Мы находимся в самом центре города.Рядом с "" Hostel Centre "" расположены:
- Центральная набережная;
- Торговый центр «Пирамида»;
- Кулинария, множество кафе;
- Краеведческий музей;
-Площадь Павших борцов;
- Волгоградский  экспериментальный театр; 
- Молодежный театр; 
- Театр муз комедии;

- 10 минут  ходьбы от речного порта и железнодорожного вокзала и авто вокзала.

Hostel Centre не понаслышке знает, что вдали от дома нам хочется уюта. Именно поэтому, обещаем встречать вас со всем гостеприимством, которое только может быть присуще широкой русской душе.
Кроме того, мы будем рады личному общению с гостями из разных уголков России, а также нашими зарубежными друзьями! 
Мы с удовольствием поможем в организации вашего пребывания в городе.",,,1,True,111149989,,False,True,"Мы готовы организовать для Вас:
экскурсии по городу герою Волгограду,
посещение спектаклей в театры (муз комедию, НЭТ, молодежный театр, теат юного зрителя).",True,48.70569147689201,44.51354480243412,31,1,,RUB,,,"Hostel Centre не понаслышке знает, что вдали от дома нам хочется уюта. Именно поэтому, обещаем встречать вас со всем гостеприимством, которое только может быть присуще широкой русской душе.
Кроме того, мы будем рады личному общению с гостями из разных уголков России, а также нашими зарубежными друзьями! 
Мы с удовольствием поможем в организации вашего пребывания в городе.",16,,10,0,1350,Хостел,False,,,,,,,0,Отдельная комната,private_room,"«Hostel Centre» - это чистота, гостеприимство, уют и безопасность.
Наши апартаменты расположены в отдельно стоящем здании с площадью в 240 кв.м. и отдельной закрытой парковкой.",,,- 10 минут  ходьбы от речного порта и железнодорожного вокзала и авто вокзала.,https://www.airbnb.com/rooms/16752548,0.86
False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,9084120,Недорогое и очень комфортное жилье,2.0,Настоящая кровать,2,7,flexible,Volgograd,,,"Удобный хостел в самом сердце Волгограда! Все детали созданы для того, чтобы гость чувствовал себя как дома. От индивидуальных шкафчиков для хранения вещей до розеток, мы продумали всё!
Недорогая цена, центральное место, душевные люди!

Находимся в самом центре города.

Гостям доступны удобные спальные места, общая ванная комната и туалет, мини-кухня и зона общения.

Обязательно поможем советами, картой и путеводителем на трех языках. Наши друзья - молодые и веселые экскурсоводы - прогуляются с гостями по самым интересным и памятным местам города.

Центральный район. Немецкий ресторан ""Бамберг"" или столовая Дома Профсоюзов - на любой кошелек и вкус. Рядом клубы, крупнейшие ТЦ, кинотеатры и зеленые парки. Рядом есть детский парк аттракционов.

Хостел находится на остановке общественного транспорта ""Комсомольская"", 6 минут от ж/д и автовокзала.

Заселение производится по паспорту. Это закон РФ.",,,1,True,47371345,Курение разрешено в специально отведенных местах. Животные в хостеле запрещены. Алкоголь строго запрещен. Только адекватное и вежливое отношение к персоналу и всем гостям хостела.,False,False,"Обязательно поможем советами, картой и путеводителем на трех языках. Наши друзья - молодые и веселые экскурсоводы - прогуляются с гостями по самым интересным и памятным местам города.",False,48.70864682191213,44.521408736748604,1125,1,1.0,RUB,,,Заселение производится по паспорту. Это закон РФ.,14,,5,0,619,Квартира,False,,,,,,,0,Дом/квартира целиком,entire_home,Находимся в самом центре города. ,,,"Хостел находится на остановке общественного транспорта ""Комсомольская"", 6 минут от ж/д и автовокзала.",https://www.airbnb.com/rooms/9084120,1.0
False,False,True,True,False,False,False,True,True,True,False,False,False,False,False,False,False,True,False,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,8042508,отдельная комната в 3-х комнатной квартире,1.0,Настоящая кровать,1,2,flexible,Волгоград,,,"Очень удобное расположение, хорошая транспортная доступность во все районы города, отчетные документы

Имеется полностью оборудованная кухня

Наша квартира находиться недалеко от Мамаева Кургана

Рядом находиться общественный транспорт, легко добраться во все районы города",,,1,True,32354796,У нас курение на территории квартиры запрещено.,False,True,,True,48.77537315883992,44.55565780762766,1125,1,1.0,RUB,,,,3,,6,0,619,Квартира,False,,,,,,,0,Отдельная комната,private_room,,,,"Рядом находиться общественный транспорт, легко добраться во все районы города",https://www.airbnb.com/rooms/8042508,0.89
True,True,False,False,False,False,False,False,True,True,False,True,True,False,False,True,True,True,False,False,False,True,True,True,True,False,False,False,False,False,True,False,False,False,False,True,False,True,15852470,Сдается комната в котедже,1.0,Настоящая кровать,1,1,flexible,Volgograd,,,"Мое жилье подходит для этого: пары, соло-путешественники и деловые путешественники.",,,1,True,86977552,,False,False,,False,48.721986024009475,44.49096680974987,1125,1,,RUB,,,,2,,17,0,675,Дом,False,,,,,,,0,Отдельная комната,private_room,,,,,https://www.airbnb.com/rooms/15852470,0.95
True,True,False,False,False,False,True,False,True,True,True,True,True,False,False,True,True,True,False,True,False,True,True,True,True,False,True,False,True,False,False,True,False,False,True,True,False,True,16752548,Хостел Центр,4.5,Настоящая кровать,7,16,flexible,Volgograd,,,"Каждый путешественник знает, что знакомство с городом начинается с самого его сердца - нулевого километра, место положение Hostel Centre в этом активно способствует, так как находится в 250 метрах от данной достопримечательности города Волгограда, а так же его главной аллее, ведущей к центральной набережной, где проходят все масштабные мероприятия, и в шаговой доступности от вокзала.

«Hostel Centre» - это чистота, гостеприимство, уют и безопасность.
Наши апартаменты расположены в отдельно стоящем здании с площадью в 240 кв.м. и отдельной закрытой парковкой.

Для гостей  7 комнат, 5 четырех местных и 2 типа люкс со всеми необходимыми удобствами. В каждой комнате для поддержания комфортной температуры имеются сплит-системы. Так же в хостеле имеется современно оборудованная кухня, просторный санузел с шестью кабинами (3 туалетных комнат и 3 душевых), большим зеркалом и тремя умывальниками. Сердцем хостела является комната для отдыха Наших гостей, отделанная натуральным деревом и живыми растениями с большим и удобным 8 метровым диваном, где гости могут с комфортом посмотреть телевизор, поиграть в настольные игры или игровую приставку xbox360, а так же прочитать журнал или книгу.

Мы готовы организовать для Вас:
экскурсии по городу герою Волгограду,
посещение спектаклей в театры (муз комедию, НЭТ, молодежный театр, теат юного зрителя).

Мы находимся в самом центре города.Рядом с "" Hostel Centre "" расположены:
- Центральная набережная;
- Торговый центр «Пирамида»;
- Кулинария, множество кафе;
- Краеведческий музей;
-Площадь Павших борцов;
- Волгоградский  экспериментальный театр; 
- Молодежный театр; 
- Театр муз комедии;

- 10 минут  ходьбы от речного порта и железнодорожного вокзала и авто вокзала.

Hostel Centre не понаслышке знает, что вдали от дома нам хочется уюта. Именно поэтому, обещаем встречать вас со всем гостеприимством, которое только может быть присуще широкой русской душе.
Кроме того, мы будем рады личному общению с гостями из разных уголков России, а также нашими зарубежными друзьями! 
Мы с удовольствием поможем в организации вашего пребывания в городе.",,,1,True,111149989,,False,True,"Мы готовы организовать для Вас:
экскурсии по городу герою Волгограду,
посещение спектаклей в театры (муз комедию, НЭТ, молодежный театр, теат юного зрителя).",True,48.70569147689201,44.51354480243412,31,1,,RUB,,,"Hostel Centre не понаслышке знает, что вдали от дома нам хочется уюта. Именно поэтому, обещаем встречать вас со всем гостеприимством, которое только может быть присуще широкой русской душе.
Кроме того, мы будем рады личному общению с гостями из разных уголков России, а также нашими зарубежными друзьями! 
Мы с удовольствием поможем в организации вашего пребывания в городе.",16,,10,0,1350,Хостел,False,,,,,,,0,Отдельная комната,private_room,"«Hostel Centre» - это чистота, гостеприимство, уют и безопасность.
Наши апартаменты расположены в отдельно стоящем здании с площадью в 240 кв.м. и отдельной закрытой парковкой.",,,- 10 минут  ходьбы от речного порта и железнодорожного вокзала и авто вокзала.,https://www.airbnb.com/rooms/16752548,0.86
True,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,True,7879220,"Новый, молодежный хостел ГУДЗОН",1.0,Настоящая кровать,1,16,flexible,Волгоград,,,"Новый современный хостел в центре Волгограда c дизайнерским интерьером, высокоскоростным бесплатным wi-fi интернетом, игровой приставкой Х-Box, настольными играми. Идеальное место для молодых и активных туристов и студентов, которые знают, как получить максимум за невысокую цену. У нас во всех комнатах кондиционеры, есть собственная библиотека и две 40 дюймовые плазменные панели с цифровым телевидением. Мы сделали все для твоего комфорта! Нашими приоритетами являются ваше удобство и комфорт.

Находимся в центре города в 10-ти минутной доступности от всех достопримечательностей. Рядом столовая с домашней кухней.

Общая современная оборудованная кухня, гостинная с современным дизайном с игровой приставкой Х-Box, библиотекой и 2-мя плоскими ТВ панелями. Во всех комнатах есть кондиционеры и бесплатный интернет через wi-fi. 
Для вас четыре восьмиместных номера с персональными запирающимися шкафчиками и кондиционерами. Экологичные деревянные двухъярусные кровати с персональными шторками, розетками и светодиодными лампами. Вы легко можете уединиться в кровати с любимой книгой или планшетом. Просторная гостиная с балконом.

Наш хостел – это не только место переночевать. Это место встречи единомышленников и новых друзей в центре города. Тут всегда весело и есть чем заняться в отличие от дешевых отелей или арендованных квартир.

Центральный район Волгограда, все достопримечательности находятся в 10-ти минутной доступности.

Совсем рядом развязка с остановками общественного транспорта и магазинами. Бесплатная общестенная парковка находиться рядом с хостелом. 3 минуты остановка общественного транспорта ""ул. 7-я Гвардейская"", в 7-минутах остановка ""ул. Хиросима""",,,1,True,41379407,"Ведите себя как дома, убирайте и мойте за собой посуду для сохранения порядка и чистоты. У нас очень чисто и уютно.",False,True,Наш хостел – это не только место переночевать. Это место встречи единомышленников и новых друзей в центре города. Тут всегда весело и есть чем заняться в отличие от дешевых отелей или арендованных квартир.,True,48.72529050733391,44.5322533147563,30,1,0.41,RUB,,,,8,,15,0,675,Общежитие,False,10.0,9.0,10.0,9.0,10.0,10.0,4,Общая комната,shared_room,Находимся в центре города в 10-ти минутной доступности от всех достопримечательностей. Рядом столовая с домашней кухней.,,5.0,"Совсем рядом развязка с остановками общественного транспорта и магазинами. Бесплатная общестенная парковка находиться рядом с хостелом. 3 минуты остановка общественного транспорта ""ул. 7-я Гвардейская"", в 7-минутах остановка ""ул. Хиросима""",https://www.airbnb.com/rooms/7879220,0.73
